"","x"
"1",0
"2",0
"3",0
"4",1
"5",1
"6",1
"7",1
"8",2
"9",2
"10",2
"11",3
"12",3
"13",3
"14",4
"15",4
"16",4
"17",5
"18",5
"19",6
"20",6
"21",6
"22",7
"23",7
"24",7
"25",8
"26",8
"27",8
"28",9
"29",9
"30",9
"31",9
"32",10
"33",10
"34",10
"35",0
"36",11
"37",11
"38",11
"39",11
"40",11
"41",12
"42",12
"43",12
"44",12
"45",12
"46",13
"47",13
"48",13
"49",13
"50",13
"51",13
"52",14
"53",14
"54",14
"55",15
"56",15
"57",15
"58",0
"59",0
"60",16
"61",16
"62",16
"63",0
"64",0
"65",17
"66",17
"67",17
"68",18
"69",18
"70",18
"71",19
"72",19
"73",19
"74",20
"75",20
"76",20
"77",21
"78",21
"79",21
"80",22
"81",22
"82",23
"83",23
"84",23
"85",23
"86",24
"87",24
"88",24
"89",24
"90",24
"91",24
"92",0
"93",0
"94",25
"95",25
"96",25
"97",26
"98",26
"99",26
"100",26
"101",26
"102",26
"103",27
"104",27
"105",27
"106",28
"107",28
"108",28
"109",0
"110",0
"111",0
"112",0
"113",29
"114",29
"115",30
"116",30
"117",30
"118",31
"119",31
"120",31
"121",31
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",32
"129",32
"130",32
"131",0
"132",33
"133",33
"134",33
"135",33
"136",33
"137",33
"138",33
"139",33
"140",33
"141",34
"142",34
"143",35
"144",35
"145",35
"146",36
"147",36
"148",36
"149",36
"150",37
"151",37
"152",37
"153",38
"154",38
"155",38
"156",38
"157",38
"158",38
"159",39
"160",39
"161",39
"162",40
"163",40
"164",40
"165",40
"166",41
"167",41
"168",41
"169",41
"170",41
"171",0
"172",42
"173",42
"174",42
"175",43
"176",43
"177",43
"178",44
"179",44
"180",44
"181",0
"182",45
"183",45
"184",46
"185",46
"186",46
"187",47
"188",47
"189",47
"190",48
"191",48
"192",48
"193",49
"194",49
"195",49
"196",50
"197",50
"198",50
"199",0
"200",0
"201",51
"202",51
"203",51
"204",51
"205",51
"206",51
"207",51
"208",52
"209",52
"210",52
"211",0
"212",53
"213",53
"214",53
"215",54
"216",54
"217",54
"218",0
"219",55
"220",55
"221",56
"222",56
"223",56
"224",57
