,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
15785,484,7118.343000000001,4,primary,residential,tertiary,nan,nan,nan,0.5773071064431708,0.28107215401112307,0.14162073954570606,,,
15786,293,932.5819999999999,23,residential,nan,nan,nan,nan,nan,1.0,,,,,
15787,904,10583.639000000001,12,tertiary,nan,nan,nan,nan,nan,0.9999999999999998,,,,,
15788,641,10770.235999999999,21,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15789,705,6560.204999999999,23,primary,tertiary,residential,primary_link,nan,nan,0.7097636430568862,0.20813084347211716,0.07334084834239174,0.008764665128604977,,
15790,1062,22042.185999999994,2,primary,secondary,tertiary,nan,nan,nan,0.9289288276580191,0.057465035455194886,0.013606136886786096,,,
15791,233,3214.641,17,primary,tertiary,nan,nan,nan,nan,0.6715807457193509,0.32841925428064905,,,,
15792,197,790.5619999999999,20,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15793,394,5199.9619999999995,22,tertiary,residential,nan,nan,nan,nan,0.9747777002985794,0.025222299701420897,,,,
15794,194,1263.824,5,tertiary,primary,primary_link,nan,nan,nan,0.6778412183974984,0.24134689640329662,0.08081188519920496,,,
15795,2261,22045.274999999998,18,primary,secondary,tertiary,nan,nan,nan,0.9287986654736672,0.06497669001634138,0.00622464450999137,,,
15796,571,4422.366999999999,12,tertiary,residential,service,nan,nan,nan,0.569215987727839,0.4253276582427466,0.0054563540294145655,,,
15797,725,6852.279999999999,0,tertiary,residential,nan,nan,nan,nan,0.941607319023741,0.05839268097625901,,,,
15798,290,1958.405,5,tertiary,residential,nan,nan,nan,nan,0.963197602130305,0.03680239786969498,,,,
15799,1191,21112.958000000002,12,secondary,primary,primary_link,tertiary,nan,nan,0.6258892761497463,0.35870421378188694,0.010581226941293587,0.004825283127072957,,
15800,587,6306.404,17,tertiary,residential,nan,nan,nan,nan,0.9365529071718204,0.06344709282817909,,,,
15801,446,1219.099,6,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15802,133,1223.346,5,tertiary,residential,nan,nan,nan,nan,0.6552659672733634,0.34473403272663666,,,,
15803,210,1350.8709999999999,14,residential,service,nan,nan,nan,nan,0.9410439634872613,0.05895603651273882,,,,
15804,441,3171.036,16,tertiary,residential,nan,nan,nan,nan,0.9307734128530863,0.0692265871469135,,,,
15805,325,1611.702,13,residential,tertiary,nan,nan,nan,nan,0.5587304600974622,0.44126953990253776,,,,
15806,893,14801.963000000002,10,primary,primary_link,tertiary,residential,nan,nan,0.9480395269195039,0.02964883779266304,0.017873372606052314,0.004438262681780787,,
15807,443,7111.285000000001,13,primary,tertiary,nan,nan,nan,nan,0.7869531315367052,0.2130468684632946,,,,
15808,817,7712.041000000001,17,primary,tertiary,nan,nan,nan,nan,0.7256507064731631,0.2743492935268368,,,,
15809,586,3505.992,6,tertiary,residential,service,nan,nan,nan,0.7332928882895337,0.250107815420001,0.01659929629046501,,,
15810,366,4167.608,13,primary,tertiary,nan,nan,nan,nan,0.5249450044246003,0.47505499557539954,,,,
15811,536,12873.836,15,primary,tertiary,nan,nan,nan,nan,0.8484787284846568,0.1515212715153432,,,,
15812,325,1734.862,22,tertiary,nan,nan,nan,nan,nan,0.9999999999999996,,,,,
15813,169,1486.049,2,tertiary,residential,nan,nan,nan,nan,0.5555483029159872,0.4444516970840128,,,,
15814,282,3171.036,13,tertiary,residential,nan,nan,nan,nan,0.9307734128530863,0.0692265871469135,,,,
15815,1027,17570.894,15,primary,residential,tertiary,unclassified,nan,nan,0.9187980418070929,0.04448663795934344,0.0348721584684308,0.0018431617651327244,,
15816,991,22915.163999999997,20,primary,residential,secondary,tertiary,service,nan,0.8935402775210336,0.049746709209674445,0.033297470618146134,0.02123074484651299,0.0021847978046327754,
15817,1318,22713.452999999994,9,primary,secondary,residential,tertiary,nan,nan,0.9040179844077428,0.07500805799981185,0.013072693086339628,0.007901264506105702,,
15818,147,1669.055,0,residential,tertiary,nan,nan,nan,nan,0.809854079104643,0.19014592089535692,,,,
15819,876,10155.355,22,tertiary,residential,nan,nan,nan,nan,0.9445615638251936,0.055438436174806295,,,,
15820,350,4389.352,0,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15821,939,13809.192000000003,16,primary,tertiary,service,residential,nan,nan,0.5586571611141332,0.3670752785535894,0.04956408745710827,0.02470347287516894,,
15822,342,3479.5870000000004,2,tertiary,residential,nan,nan,nan,nan,0.7642108100760233,0.2357891899239766,,,,
15823,96,581.6659999999999,19,primary,tertiary,nan,nan,nan,nan,0.691463829757971,0.308536170242029,,,,
15824,337,7071.192,16,primary,tertiary,nan,nan,nan,nan,0.7995817395426399,0.20041826045735994,,,,
15825,183,458.71500000000003,8,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15826,546,4303.976000000001,11,tertiary,nan,nan,nan,nan,nan,1.0,,,,,
15827,106,995.219,0,tertiary,primary,residential,nan,nan,nan,0.4888431591438668,0.40413316064102467,0.10702368021510843,,,
15828,926,14017.771999999999,7,primary,service,tertiary,residential,nan,nan,0.8858071739217902,0.05515056172978131,0.034706371312074415,0.02433589303635414,,
15829,180,1490.2199999999998,18,residential,tertiary,nan,nan,nan,nan,0.8206003140475906,0.17939968595240977,,,,
15830,846,3492.137,5,tertiary,residential,nan,nan,nan,nan,0.9002089551469484,0.09979104485305129,,,,
15831,247,1924.9759999999997,14,residential,service,tertiary,nan,nan,nan,0.4341908678341964,0.29196883493612386,0.2738402972296798,,,
15832,730,8347.464999999998,19,tertiary,residential,nan,nan,nan,nan,0.8514986286255769,0.14850137137442326,,,,
15833,200,3144.9580000000005,15,primary,tertiary,primary_link,nan,nan,nan,0.7764901788831519,0.20522722402016177,0.018282597096686184,,,
15834,386,4466.661,1,tertiary,nan,nan,nan,nan,nan,0.9999999999999998,,,,,
