,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
13790,1453,24683.359,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24683.358999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13791,1408,16377.240000000002,3,0.0,0.0,0.0,0.0,0.0,429.52200000000005,0.0,14732.660000000002,0.0,0.0,1215.0580000000002,0.0,0.0,0.0,0.0,0.0
13792,1595,20221.214,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20221.21400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13793,1178,14069.955999999998,22,0.0,0.0,0.0,0.0,0.0,437.549,0.0,13632.406999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13794,1456,14552.788999999999,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14552.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13795,1564,19775.857,20,0.0,0.0,0.0,0.0,0.0,1242.214,0.0,16601.030999999995,0.0,0.0,1932.6120000000003,0.0,0.0,0.0,0.0,0.0
13796,403,5037.805,0,0.0,0.0,0.0,1554.4090000000006,0.0,2156.3760000000007,0.0,1327.0199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13797,1140,13559.371,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13559.370999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13798,1433,19582.629999999997,10,0.0,0.0,0.0,63.157,0.0,1108.693,0.0,16338.043000000003,0.0,0.0,2072.7370000000005,0.0,0.0,0.0,0.0,0.0
13799,2346,13185.2,22,0.0,0.0,0.0,0.0,0.0,26.986,0.0,13158.213999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13800,914,14341.064999999999,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14341.064999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13801,1152,12280.667999999998,12,0.0,0.0,0.0,0.0,0.0,746.172,0.0,11534.496000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13802,1084,16906.614,13,0.0,0.0,0.0,0.0,0.0,442.5610000000001,0.0,16464.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13803,1481,18969.281,20,0.0,0.0,0.0,0.0,0.0,1021.1419999999999,0.0,16015.526999999998,0.0,0.0,1932.6120000000003,0.0,0.0,0.0,0.0,0.0
13804,916,14075.953999999998,21,0.0,0.0,0.0,0.0,0.0,621.8720000000001,0.0,13454.081999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13805,1320,17011.112,2,0.0,0.0,0.0,0.0,0.0,338.42999999999995,0.0,16672.681999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13806,1972,28712.946,11,0.0,0.0,0.0,63.157,0.0,2066.139,0.0,25719.73,0.0,0.0,0.0,0.0,0.0,0.0,863.9200000000001,0.0
13807,301,2288.992,22,0.0,0.0,0.0,447.533,0.0,514.439,0.0,1327.0199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13808,553,7828.848,2,0.0,0.0,0.0,0.0,0.0,803.349,0.0,7025.498999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13809,898,10576.065,7,0.0,0.0,0.0,0.0,0.0,1759.205,0.0,7369.836999999998,0.0,0.0,1447.0230000000001,0.0,0.0,0.0,0.0,0.0
13810,1253,13219.304,9,0.0,0.0,0.0,0.0,0.0,241.8,0.0,12977.503999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13811,1490,16892.210000000003,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7666.499999999997,0.0,0.0,9225.71,0.0,0.0,0.0,0.0,0.0
13812,1137,14229.486999999997,0,0.0,0.0,0.0,0.0,0.0,36.777,0.0,13937.876999999997,0.0,0.0,0.0,0.0,0.0,0.0,254.833,0.0
