,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
4177,1065,6868.251,18,unclassified,primary,service,residential,primary_link,nan,0.3124601881905597,0.2682161732295456,0.16828782174675916,0.16492481128019343,0.08611100555294209,
4178,959,12711.927000000001,20,primary,tertiary,unclassified,residential,nan,nan,0.6820131204340616,0.27178050975276996,0.04372940467641137,0.0024769651367569996,,
4179,849,7201.855,1,residential,primary,service,primary_link,unclassified,nan,0.4642835769395524,0.25579187584309876,0.1156668663837303,0.08514889566646372,0.07910878516715486,
4180,600,6202.723,10,tertiary,primary,residential,unclassified,nan,nan,0.7899361296643426,0.09077045678164251,0.08620923423470626,0.03308417931930863,,
4181,756,10347.306999999997,18,primary,unclassified,residential,tertiary,nan,nan,0.7423767362851033,0.1429077150218893,0.0692183966320899,0.04549715206091788,,
4182,606,4385.340999999999,9,primary,residential,unclassified,nan,nan,nan,0.882429895417483,0.07077511190121819,0.04679499268129891,,,
4183,359,2139.0150000000003,10,residential,unclassified,primary,service,nan,nan,0.46807198640495734,0.25987896298062424,0.16401708262915407,0.10803196798526422,,
4184,705,6428.005,11,primary,tertiary,residential,unclassified,primary_link,nan,0.3736901262522353,0.3423897461187414,0.221517562603016,0.03860311247424356,0.023799452551763727,
4185,1490,2762.5029999999997,19,primary,residential,primary_link,unclassified,service,nan,0.5611986665715838,0.1417225610252731,0.1392570433407674,0.11139607812190613,0.046425650940469576,
4186,474,5316.883,7,primary,residential,unclassified,service,nan,nan,0.8894978505263328,0.058374991512884535,0.03859629786850679,0.013530860092275868,,
4187,1914,2306.249,15,residential,primary,unclassified,service,nan,nan,0.7387779897140335,0.1521236431972437,0.07273195565613254,0.03636641143259032,,
4188,247,3316.949,2,secondary,primary,secondary_link,residential,unclassified,nan,0.46997466647813985,0.22797968856319467,0.12068741485021325,0.11949053181101067,0.06186769829744141,
4189,484,2252.039,6,residential,unclassified,primary,nan,nan,nan,0.5507884188506504,0.29342609075597714,0.15578549039337242,,,
4190,932,5422.4580000000005,16,primary,residential,unclassified,nan,nan,nan,0.8890621190611342,0.07309305115871806,0.03784482978014767,,,
4191,391,2374.128,4,unclassified,primary,primary_link,nan,nan,nan,0.5243529413746857,0.37878623225032515,0.09686082637498905,,,
4192,2169,3461.837,16,primary,residential,unclassified,nan,nan,nan,0.46633795871960465,0.4426750883995982,0.0909869528807971,,,
4193,1104,11471.443000000001,8,primary,residential,unclassified,tertiary,nan,nan,0.66436550310192,0.1583679577190071,0.10605823521940526,0.07120830395966748,,
4194,810,9593.505000000001,17,primary,residential,unclassified,nan,nan,nan,0.93729549314875,0.0413137846907882,0.021390722160461683,,,
4195,424,4206.553,19,secondary,primary,residential,secondary_link,unclassified,tertiary,0.5199696758842691,0.17976642633529163,0.12855513766259452,0.09516437805490624,0.0487838855233727,0.027760496539565766
4196,533,5130.017000000001,23,tertiary,primary,residential,unclassified,nan,nan,0.7897455310576941,0.10975090335957949,0.06050135896235821,0.040002206620367915,,
4197,536,7366.656,20,primary,residential,unclassified,service,nan,nan,0.7637522371073117,0.1510222548738532,0.07545961152522936,0.009765896493605783,,
4198,1230,12547.800000000001,12,primary,residential,primary_link,unclassified,nan,nan,0.9373434386904477,0.024735252394842127,0.021566888219448827,0.01635442069526132,,
4199,613,6292.223,22,tertiary,primary,residential,unclassified,nan,nan,0.8285806145141393,0.08947934617066178,0.04932644631317105,0.032613593002028055,,
4200,279,2751.6130000000003,5,primary,unclassified,primary_link,residential,service,nan,0.5634197105479585,0.2392796516079841,0.13980817796688705,0.029486704707384362,0.028005755169785866,
4201,609,6665.002,5,primary,tertiary,residential,unclassified,service,primary_link,0.37307400657944284,0.33021490466169406,0.19013617700339774,0.05869480609308144,0.02492692425298597,0.022953181409397925
