,travel time,distance,hour of day,living_street,motorway,motorway_link,primary,primary_link,residential,road,secondary,secondary_link,service,tertiary,track,trunk,trunk_link,unclassified,others
6144,1926,3387.423,21,0.0,0.0,0.0,835.6389999999999,228.532,1110.774,0.0,0.0,0.0,377.704,0.0,0.0,0.0,0.0,834.774,0.0
6145,1316,19454.752,15,0.0,0.0,0.0,16467.288999999997,534.346,938.147,0.0,0.0,0.0,0.0,936.24,0.0,0.0,0.0,578.7300000000001,0.0
6146,554,3226.2110000000007,17,0.0,0.0,0.0,0.0,0.0,732.2819999999999,0.0,0.0,0.0,0.0,2002.2409999999998,0.0,0.0,0.0,491.68800000000005,0.0
6147,2270,31597.140999999996,4,0.0,0.0,0.0,4006.514000000001,1338.681,966.7130000000001,0.0,24930.838000000003,0.0,0.0,0.0,0.0,0.0,0.0,354.395,0.0
6148,425,1513.3780000000002,7,0.0,0.0,0.0,1443.018,0.0,61.879,0.0,0.0,0.0,8.481,0.0,0.0,0.0,0.0,0.0,0.0
6149,685,3374.216,5,0.0,0.0,0.0,291.863,228.532,1182.0310000000002,0.0,0.0,0.0,837.0160000000001,0.0,0.0,0.0,0.0,834.774,0.0
6150,679,7759.727,14,0.0,0.0,0.0,0.0,0.0,1334.314,0.0,0.0,0.0,0.0,5933.725,0.0,0.0,0.0,491.68800000000005,0.0
6151,637,7550.258,19,0.0,0.0,0.0,1112.595,355.252,1862.1629999999996,0.0,0.0,0.0,0.0,1819.464,0.0,0.0,0.0,2400.7839999999997,0.0
6152,360,840.99,22,0.0,0.0,0.0,0.0,0.0,840.9899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6153,368,4035.489,23,0.0,0.0,0.0,3625.862,66.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.06000000000006,0.0
6154,1139,14879.582999999999,20,0.0,0.0,0.0,12898.801999999996,534.346,839.743,0.0,0.0,0.0,27.962,0.0,0.0,0.0,0.0,578.7300000000001,0.0
6155,422,3814.766,2,0.0,0.0,0.0,449.991,0.0,1566.7390000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.0359999999998,0.0
6156,432,2078.95,17,0.0,0.0,0.0,0.0,0.0,1353.6620000000003,0.0,0.0,0.0,483.104,0.0,0.0,0.0,0.0,242.184,0.0
6157,1682,21673.293999999994,22,0.0,0.0,0.0,19908.219999999994,534.346,651.9979999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.7300000000001,0.0
6158,649,4274.841,2,0.0,0.0,0.0,1390.9189999999999,0.0,2883.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6159,741,15857.893,11,0.0,0.0,0.0,3097.584,0.0,487.19499999999994,0.0,12273.114000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6160,547,7233.468,13,0.0,0.0,0.0,0.0,0.0,609.7360000000001,0.0,0.0,0.0,0.0,6132.043999999999,0.0,0.0,0.0,491.68800000000005,0.0
6161,1243,12021.012999999999,16,0.0,0.0,0.0,7712.716000000001,534.346,726.6970000000001,0.0,0.0,0.0,0.0,2468.524,0.0,0.0,0.0,578.7300000000001,0.0
6162,1169,20616.832000000002,18,0.0,0.0,0.0,2081.534,363.241,179.90099999999998,0.0,17992.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6163,861,11095.139000000001,19,0.0,0.0,0.0,9577.388,7.47,61.879,0.0,0.0,0.0,202.25,1246.1519999999998,0.0,0.0,0.0,0.0,0.0
6164,544,1709.306,14,0.0,0.0,0.0,0.0,0.0,1467.1220000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.184,0.0
6165,375,1710.4289999999996,16,0.0,0.0,0.0,0.0,0.0,972.1179999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.3110000000001,0.0
6166,382,1188.753,14,0.0,0.0,0.0,0.0,0.0,629.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.4530000000001,0.0
6167,713,8951.518,2,0.0,0.0,0.0,6336.950000000001,0.0,927.0830000000001,0.0,0.0,0.0,0.0,1687.4849999999997,0.0,0.0,0.0,0.0,0.0
6168,624,10927.438,8,0.0,0.0,0.0,7798.422000000001,534.346,1208.6319999999998,0.0,0.0,0.0,0.0,807.308,0.0,0.0,0.0,578.7300000000001,0.0
6169,900,4297.0869999999995,22,0.0,0.0,0.0,0.0,0.0,1605.7129999999997,0.0,0.0,0.0,0.0,2199.6859999999997,0.0,0.0,0.0,491.68800000000005,0.0
6170,368,3134.7889999999998,3,0.0,0.0,0.0,0.0,0.0,602.4480000000001,0.0,0.0,0.0,0.0,2040.6529999999998,0.0,0.0,0.0,491.68800000000005,0.0
6171,786,12288.873999999998,6,0.0,0.0,0.0,9778.257000000001,0.0,1249.089,0.0,0.0,0.0,0.0,1261.528,0.0,0.0,0.0,0.0,0.0
6172,543,3945.1220000000003,11,0.0,0.0,0.0,449.991,0.0,1486.307,0.0,0.0,0.0,210.78799999999998,0.0,0.0,0.0,0.0,1798.0359999999998,0.0
6173,628,5783.552,21,0.0,0.0,0.0,0.0,0.0,3067.482,0.0,0.0,0.0,0.0,2224.3819999999996,0.0,0.0,0.0,491.68800000000005,0.0
6174,1867,9377.368999999999,13,0.0,0.0,0.0,2896.042,534.346,4307.363,0.0,0.0,0.0,1060.8880000000001,0.0,0.0,0.0,0.0,578.7300000000001,0.0
6175,704,11732.580999999998,5,0.0,0.0,0.0,7798.422000000001,534.346,819.9839999999998,0.0,0.0,0.0,0.0,2001.0989999999997,0.0,0.0,0.0,578.7300000000001,0.0
6176,969,19875.517000000003,21,0.0,11577.757,1184.557,4623.774,0.0,0.0,0.0,2489.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6177,583,4555.378000000001,22,0.0,0.0,0.0,0.0,0.0,1839.3079999999993,0.0,0.0,0.0,0.0,2224.3819999999996,0.0,0.0,0.0,491.68800000000005,0.0
6178,722,5022.758,4,0.0,0.0,0.0,0.0,0.0,2463.518,0.0,0.0,0.0,0.0,2067.552,0.0,0.0,0.0,491.68800000000005,0.0
