"","x"
"560",0
"561",0
"562",123
"563",123
"564",124
"565",124
"566",124
"567",125
"568",125
"569",125
"570",126
"571",126
"572",126
"573",127
"574",127
"575",127
"576",127
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",128
"584",128
"585",128
"586",0
"587",129
"588",129
"589",130
"590",130
"591",130
"592",0
"593",0
"594",131
"595",131
"596",131
"597",132
"598",132
"599",132
"600",132
"601",133
"602",133
"603",134
"604",134
"605",0
"606",0
"607",135
"608",135
"609",135
"610",0
"611",136
"612",136
"613",136
"614",136
"615",136
"616",136
"617",0
"618",137
"619",137
"620",137
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",0
"632",0
"633",138
"634",138
"635",138
"636",138
"637",139
"638",139
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",140
"649",140
"650",141
"651",141
"652",142
"653",142
"654",142
"655",142
"656",0
"657",143
"658",143
"659",144
"660",144
"661",145
"662",145
"663",145
"664",146
"665",146
"666",146
"667",147
"668",147
"669",148
"670",148
"671",148
"672",149
"673",149
"674",150
"675",150
"676",151
"677",151
"678",151
"679",152
"680",152
"681",152
"682",153
"683",153
"684",0
"685",154
"686",154
"687",154
"688",155
"689",155
"690",156
"691",156
"692",156
"693",157
"694",157
"695",157
"696",158
"697",158
"698",0
"699",159
"700",159
"701",159
"702",160
"703",160
"704",160
"705",161
"706",161
"707",161
"708",162
"709",162
"710",162
"711",163
"712",163
"713",164
"714",164
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",165
"724",165
"725",165
"726",166
"727",166
"728",166
"729",167
"730",167
"731",0
"732",168
"733",168
"734",169
"735",169
"736",169
"737",170
"738",170
"739",171
"740",171
"741",171
"742",172
"743",172
"744",172
"745",173
"746",173
"747",173
"748",173
"749",173
"750",174
"751",174
"752",175
"753",175
"754",175
"755",176
"756",176
"757",176
"758",177
"759",177
"760",177
"761",178
"762",178
"763",178
"764",178
"765",179
"766",179
"767",180
"768",180
"769",181
"770",181
"771",181
"772",182
"773",182
"774",182
"775",183
"776",183
"777",183
"778",183
"779",184
"780",184
"781",0
"782",185
"783",185
"784",186
"785",186
"786",186
"787",186
