MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
0.1910697674822609,787.1813639323419,0.55898466247083,6620.469510834156,0.7022672443608408
0.2526427729987775,440.82079834980726,0.5376196419457997,2437.70227398069,0.6628574136754262
0.31250874748068436,657.3528759561902,0.7628449186917853,7312.930549272935,0.6826292618617876
0.3337049452769799,1392.1255566308907,0.889132347694925,6908.9823966622025,0.5219432253002966
0.3972969773665255,823.7129474980891,0.9953447761196175,5598.08242122864,0.5387956504355412
0.2153446452114725,1776.013591315465,0.5604772866888209,8512.009081672872,0.9039604648946132
0.35049604559175596,1587.866417691503,0.8433027036990124,7805.198107439947,0.537463166802483
0.1958972200563318,958.6913713748494,0.5764080450809638,3171.9346497950287,0.9057194191483094
0.3252843041369156,697.9928843633331,0.6658445883386843,5978.398484276107,0.4952683052340921
0.1704848899544916,1188.7797444313362,0.6107589086326168,6929.900137712209,0.9497317517639724
0.16247493927168374,881.5660434502674,0.519509379195877,2967.8038951064373,0.947541455733769
0.21061763557264387,296.0491268439477,0.5325777665445367,4294.869041938589,0.8877156651358407
0.19820848681961997,520.231792410654,0.5899593780219462,2143.7741887824554,0.9406574180662883
0.28944741712137634,244.5580990680521,0.6220431679146474,3359.206089145735,0.5851292152984569
0.22202634882235545,985.6420891866813,0.48939666269533333,4392.722820187537,0.8074884925738436
