MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
0.2733905646262304,2188.0746824935377,0.5909307579739586,3997.2856208246963,0.8426161581444949
0.3028960989581327,1278.3464144619518,0.5272753137078647,1814.010706604613,0.785126429862879
0.30938474703756624,131.18483752655223,0.7529836415194365,9466.595408910653,0.8173486804363289
0.3303738506875823,1447.69482732428,0.5561451156567557,534.4904336294685,0.5122412074209345
0.3502630269143791,1187.797256970934,0.5430668256377247,1336.7342833272787,0.4661545166965101
0.35062329227151157,4373.429350984713,0.4828781698034071,1989.6765324289704,0.9055177946568982
0.41137245124467525,37.021599305978704,0.6320263983803539,3256.361701319059,0.5393469267314926
0.18440071258934443,324.41808444773227,0.8645329548318436,6374.0126553716655,0.7927298534925702
0.3327207083956076,1290.0585691149183,0.48586111139718674,529.2212865284932,0.5848956863675027
0.2707130302777873,1694.415721885878,0.49808434918640976,3634.2222958176817,0.9604361805637177
0.3699046157767259,1876.460132296771,0.6449105858466364,1601.4224053449996,0.8461490947429537
0.3076224116587604,1151.8120519738313,0.5051244085172634,1300.034495426432,0.8765784127563342
0.39527112613114407,1212.4868476698173,0.6100896015828235,874.6108441525602,0.8571094600290423
0.33213890086104464,776.1014572872965,0.4702181776436751,424.23483988482116,0.656103822533895
0.31482819992625866,3071.327443145691,0.5048543882487468,2189.0078420044297,0.7400653681898617
