,move,list_hr,0
16,ps_sps,0,303
18,ps_sps,1,282
19,ps_sps,2,245
22,ps_sps,3,214
23,ps_sps,4,189
21,ps_sps,5,228
20,ps_sps,6,241
17,ps_sps,7,291
15,ps_sps,8,306
14,ps_sps,9,317
10,ps_sps,10,370
11,ps_sps,11,354
7,ps_sps,12,394
12,ps_sps,13,350
9,ps_sps,14,388
8,ps_sps,15,391
6,ps_sps,16,428
4,ps_sps,17,490
0,ps_sps,18,598
1,ps_sps,19,561
2,ps_sps,20,493
3,ps_sps,21,492
5,ps_sps,22,443
13,ps_sps,23,338
