move,vehicle,hour,mean_speed
hs_sphs,110JG,18,18.03459119
hs_sphs,110JG,21,16.42557652
hs_sphs,110JG,22,18.74677003
hs_sphs,110JG,18,17.75641026
hs_sphs,110JG,23,17.73726852
hs_sphs,110JG,16,18.51508916
hs_sphs,110JG,1,18.01816239
hs_sphs,110JG,10,16.55257937
hs_sphs,110JG,21,19.60704607
hs_sphs,110JG,20,17.61517615
hs_sphs,110JG,21,19.34281843
hs_sphs,110JG,23,18.54700855
hs_sphs,110JG,14,15.28256705
hs_sphs,110JG,18,15.92881944
hs_sphs,110JG,20,16.45337302
hs_sphs,110JG,19,18.14534231
hs_sphs,110JG,0,18.18813131
hs_sphs,110JG,17,16.70751634
hs_sphs,110JG,10,15.57291667
hs_sphs,110JG,17,17.71727173
hs_sphs,110JG,20,16.78649237
hs_sphs,110JG,8,16.11590038
hs_sphs,110JG,17,14.56989247
hs_sphs,110JG,12,14.1468254
hs_sphs,110JG,16,18.05555556
hs_sphs,110JG,20,16.34134134
hs_sphs,110JG,23,19.4760101
hs_sphs,110JG,0,17.06439394
hs_sphs,110JG,12,16.51024811
hs_sphs,110JG,19,15.86569579
hs_sphs,110JG,21,16.94444444
hs_sphs,110JG,17,15.84229391
hs_sphs,110JG,17,17.22222222
hs_sphs,110JG,16,16.42982456
hs_sphs,110JG,18,16.60341034
hs_sphs,110JG,21,20.44223827
hs_sphs,110JG,0,16.5617284
hs_sphs,110JG,17,16.35353535
hs_sphs,110JG,4,17.33630952
hs_sphs,110JG,1,18.32777778
hs_sphs,110JG,13,16.61892361
hs_sphs,110JG,16,14.67918623
hs_sphs,110JG,18,17.8755144
hs_sphs,110JG,12,16.14087302
hs_sphs,110JG,19,17.07532051
hs_sphs,110JG,8,16.73489279
hs_sphs,110JG,12,17.59166667
hs_sphs,110JG,3,19.38534279
hs_sphs,110JG,17,17.43209877
hs_sphs,110JG,0,18.37855297
hs_sphs,110JG,8,17.32180294
hs_sphs,110JG,12,16.84027778
hs_sphs,110JG,14,13.59353024
hs_sphs,110JG,19,17.4040404
hs_sphs,110JG,13,14.45436508
hs_sphs,110JG,14,15.4390681
hs_sphs,110JG,18,19.15343915
hs_sphs,110JG,12,17.26409827
hs_sphs,110JG,16,16.79144385
hs_sphs,110JG,21,14.92063492
hs_sphs,110JG,17,27.03120443
hs_sphs,110JG,0,15.96960168
hs_sphs,110JG,19,17.24279835
hs_sphs,110JG,22,18.55978261
hs_sphs,110JG,16,16.54835391
hs_sphs,110JG,18,15.703125
hs_sphs,110JG,22,18.78472222
hs_sphs,110JG,18,16.47435897
hs_sphs,110JG,0,15.98659004
hs_sphs,110JG,17,17.38888889
hs_sphs,110JG,19,16.74444444
hs_sphs,110JG,21,17.53117914
hs_sphs,110JG,2,17.01923077
hs_sphs,110JG,20,16.65064103
hs_sphs,110JG,17,18.90615191
hs_sphs,110JG,21,17.41285403
hs_sphs,110JG,18,19.76190476
hs_sphs,110JG,13,15.41666667
hs_sphs,110JG,0,18.68128655
hs_sphs,110JG,6,18.55691057
hs_sphs,110JG,20,17.53250591
hs_sphs,110JG,4,18.85582011
hs_sphs,110JG,9,16.75347222
hs_sphs,110JG,20,16.54352806
hs_sphs,110JG,20,17.34508547
hs_sphs,110JG,16,14.98263889
hs_sphs,110JG,19,14.03619529
hs_sphs,110JG,14,17.18148148
hs_sphs,110JG,23,16.54265873
hs_sphs,110JG,11,13.00446999
hs_sphs,110JG,15,15.51388889
hs_sphs,110JG,18,17.92976939
hs_sphs,110JG,17,17.24166667
hs_sphs,110JG,19,17.33560091
hs_sphs,110JG,3,22.04906205
hs_sphs,110JG,19,16.51785714
hs_sphs,110JG,20,16.56779661
hs_sphs,110JG,22,19.35897436
hs_sphs,110JG,15,16.38425926
hs_sphs,110JG,18,16.2232906
hs_sphs,110JG,23,22.07638889
hs_sphs,110JG,1,20.05420054
hs_sphs,110JG,16,12.26027397
hs_sphs,110JG,22,16.40873016
hs_sphs,110JG,18,16.74283154
hs_sphs,110JG,19,16.04166667
hs_sphs,110JG,15,16.68981481
hs_sphs,110JG,18,15.85069444
hs_sphs,110JG,20,19.28140097
hs_sphs,110JG,10,16.57315732
hs_sphs,110JG,5,16.75396825
hs_sphs,110JG,18,16.24503968
hs_sphs,110JG,12,15.7542735
hs_sphs,110JG,17,16.53563941
hs_sphs,110JG,15,14.97311828
hs_sphs,110JG,5,17.22222222
hs_sphs,110JG,18,16.38327722
hs_sphs,110JG,21,16.96689113
hs_sphs,110JG,15,14.88153595
hs_sphs,110JG,17,15.31018519
hs_sphs,110JG,19,14.09772912
hs_sphs,110JG,21,17.03703704
hs_sphs,110JG,19,16.40432099
hs_sphs,110JG,10,15.41232639
hs_sphs,110JG,18,16.66152263
hs_sphs,110JG,21,16.48526077
hs_sphs,110JG,23,18.59042553
hs_sphs,110JG,9,17.125
hs_sphs,110JG,16,15.85185185
hs_sphs,110JG,12,15.94941957
hs_sphs,110JG,17,18.44850949
hs_sphs,110JG,17,15.45299145
hs_sphs,110JG,15,17.51526252
hs_sphs,110JG,18,15.74537037
hs_sphs,110JG,5,19.47997416
hs_sphs,110JG,9,17.28098291
hs_sphs,110JG,19,16.69287212
hs_sphs,110JG,9,15.95430108
hs_sphs,110JG,20,14.93764172
hs_sphs,110JG,10,16.57407407
hs_sphs,110JG,12,15.76388889
hs_sphs,110JG,18,16.81034483
hs_sphs,110JG,1,18.86141636
hs_sphs,110JG,17,16.2900641
hs_sphs,110JG,16,15.43055556
hs_sphs,110JG,18,17.3583878
hs_sphs,110JG,17,15.04208754
hs_sphs,110JG,20,16.54444444
hs_sphs,110JG,20,18.48864994
hs_sphs,110JG,22,17.40362812
hs_sphs,110JG,0,17.12384259
hs_sphs,110JG,15,16.50894539
hs_sphs,110JG,17,14.28051002
hs_sphs,110JG,11,15.90038314
hs_sphs,110JG,13,15.51553672
hs_sphs,110JG,18,17.07659115
hs_sphs,110JG,21,16.26028807
hs_sphs,110JG,10,17.34259259
hs_sphs,110JG,18,16.10576923
hs_sphs,110JG,21,14.16666667
hs_sphs,110JG,1,17.08628842
hs_sphs,110JG,18,16.99444444
hs_sphs,110JG,17,14.62686567
hs_sphs,110JG,20,16.34259259
hs_sphs,110JG,0,16.88453159
hs_sphs,110JG,7,15.32786885
hs_sphs,110JG,17,17.90430483
hs_sphs,110JG,20,16.2037037
hs_sphs,110JG,22,16.48635478
hs_sphs,110JG,18,14.41919192
hs_sphs,110JG,20,16.1687631
