,move,list_hr,0
16,sp_sphs,0,572
19,sp_sphs,1,469
22,sp_sphs,2,392
23,sp_sphs,3,384
21,sp_sphs,4,400
20,sp_sphs,5,409
18,sp_sphs,6,552
15,sp_sphs,7,640
12,sp_sphs,8,771
10,sp_sphs,9,787
14,sp_sphs,10,738
13,sp_sphs,11,758
9,sp_sphs,12,807
6,sp_sphs,13,825
7,sp_sphs,14,824
5,sp_sphs,15,847
2,sp_sphs,16,1020
0,sp_sphs,17,1064
1,sp_sphs,18,1040
3,sp_sphs,19,1020
4,sp_sphs,20,919
8,sp_sphs,21,817
11,sp_sphs,22,776
17,sp_sphs,23,563
