,vehicle,No added edges
398,110JG,24
399,110JG,47
400,110JG,95
401,110JG,64
402,110JG,1
403,110JG,48
404,110JG,48
405,110JG,21
406,110JG,5
407,110JG,73
408,110JG,88
409,110JG,40
410,110JG,36
411,110JG,32
412,110JG,74
413,110JG,43
414,110JG,69
415,110JG,54
416,110JG,65
417,110JG,34
418,110JG,36
419,110JG,40
420,110JG,58
421,110JG,22
422,110JG,18
423,110JG,61
424,110JG,49
425,110JG,70
426,110JG,36
427,110JG,95
428,110JG,49
429,110JG,123
430,110JG,76
431,110JG,51
432,110JG,46
433,110JG,73
434,110JG,19
435,110JG,35
436,110JG,52
437,110JG,429
438,110JG,62
439,110JG,43
440,110JG,85
441,110JG,122
442,110JG,69
443,110JG,60
444,110JG,43
445,110JG,60
446,110JG,93
447,110JG,50
448,110JG,148
449,110JG,52
450,110JG,45
451,110JG,1
452,110JG,61
453,110JG,42
454,110JG,74
455,110JG,50
456,110JG,67
457,110JG,37
458,110JG,93
459,110JG,54
460,110JG,94
461,110JG,55
462,110JG,85
463,110JG,54
464,110JG,58
465,110JG,69
466,110JG,93
467,110JG,70
468,110JG,38
469,110JG,46
470,110JG,73
471,110JG,185
472,110JG,54
473,110JG,70
474,110JG,44
475,110JG,45
476,110JG,68
477,110JG,21
478,110JG,41
479,110JG,70
480,110JG,72
481,110JG,47
482,110JG,74
483,110JG,47
484,110JG,47
485,110JG,68
486,110JG,18
487,110JG,28
488,110JG,66
489,110JG,59
490,110JG,88
491,110JG,27
492,110JG,51
493,110JG,32
494,110JG,102
495,110JG,40
496,110JG,53
497,110JG,24
498,110JG,96
499,110JG,39
500,110JG,38
501,110JG,86
502,110JG,40
503,110JG,32
504,110JG,80
505,110JG,69
506,110JG,48
507,110JG,60
508,110JG,50
509,110JG,58
510,110JG,75
511,110JG,53
512,110JG,78
513,110JG,126
514,110JG,56
515,110JG,49
516,110JG,50
517,110JG,75
518,110JG,23
519,110JG,65
520,110JG,51
521,110JG,43
522,110JG,71
523,110JG,43
524,110JG,19
525,110JG,23
526,110JG,85
527,110JG,4
528,110JG,39
529,110JG,88
530,110JG,62
531,110JG,32
532,110JG,42
533,110JG,60
534,110JG,75
535,110JG,38
536,110JG,39
537,110JG,76
538,110JG,83
539,110JG,73
540,110JG,104
541,110JG,126
542,110JG,43
543,110JG,40
544,110JG,51
545,110JG,54
546,110JG,143
547,110JG,36
548,110JG,46
549,110JG,50
550,110JG,67
551,110JG,53
552,110JG,77
553,110JG,91
554,110JG,61
555,110JG,35
556,110JG,56
557,110JG,37
558,110JG,98
559,110JG,36
560,110JG,61
561,110JG,39
562,110JG,59
563,110JG,98
564,110JG,82
565,110JG,70
566,110JG,29
567,110JG,45
568,110JG,52
569,110JG,85
570,110JG,89
571,110JG,79
572,110JG,75
573,110JG,45
574,110JG,81
575,110JG,47
576,110JG,44
577,110JG,47
578,110JG,60
579,110JG,70
580,110JG,19
581,110JG,61
582,110JG,78
583,110JG,97
584,110JG,63
585,110JG,108
586,110JG,69
587,110JG,55
588,110JG,42
589,110JG,52
590,110JG,17
591,110JG,54
592,110JG,78
593,110JG,68
594,110JG,85
595,110JG,53
596,110JG,85
597,110JG,72
598,110JG,79
599,110JG,76
600,110JG,72
601,110JG,82
602,110JG,84
603,110JG,58
604,110JG,66
605,110JG,79
606,110JG,89
607,110JG,68
608,110JG,56
609,110JG,91
610,110JG,55
611,110JG,45
612,110JG,47
613,110JG,16
614,110JG,65
615,110JG,28
616,110JG,52
617,110JG,40
618,110JG,72
619,110JG,25
620,110JG,66
621,110JG,51
622,110JG,17
623,110JG,52
624,110JG,93
625,110JG,57
626,110JG,44
627,110JG,46
628,110JG,75
629,110JG,78
630,110JG,31
631,110JG,55
632,110JG,34
633,110JG,82
634,110JG,48
635,110JG,22
636,110JG,81
637,110JG,30
638,110JG,90
639,110JG,18
640,110JG,37
641,110JG,50
642,110JG,44
643,110JG,87
644,110JG,59
645,110JG,53
646,110JG,82
647,110JG,38
648,110JG,39
649,110JG,6
650,110JG,112
651,110JG,74
652,110JG,76
653,110JG,85
654,110JG,71
655,110JG,54
656,110JG,56
657,110JG,85
658,110JG,88
659,110JG,60
660,110JG,48
661,110JG,86
662,110JG,98
663,110JG,53
664,110JG,74
665,110JG,60
666,110JG,41
667,110JG,81
668,110JG,44
669,110JG,60
670,110JG,46
671,110JG,43
672,110JG,74
673,110JG,46
674,110JG,75
675,110JG,85
676,110JG,53
677,110JG,53
678,110JG,87
679,110JG,30
680,110JG,20
681,110JG,32
682,110JG,49
683,110JG,57
684,110JG,34
685,110JG,57
686,110JG,80
687,110JG,67
688,110JG,27
689,110JG,95
690,110JG,18
691,110JG,50
692,110JG,17
693,110JG,5
694,110JG,36
695,110JG,44
696,110JG,44
697,110JG,49
698,110JG,74
699,110JG,43
700,110JG,62
701,110JG,35
702,110JG,37
703,110JG,49
704,110JG,32
705,110JG,49
706,110JG,83
707,110JG,42
708,111IZ,137
709,111IZ,21
710,111IZ,143
711,111IZ,267
712,111IZ,14
713,111IZ,142
714,111IZ,26
715,111IZ,104
716,111IZ,103
717,111IZ,134
718,111IZ,25
719,111IZ,233
720,111IZ,98
721,111IZ,139
722,111IZ,63
723,111IZ,113
724,111IZ,91
725,111IZ,83
726,111IZ,31
727,111IZ,36
728,111IZ,135
729,111IZ,19
730,111IZ,171
731,111IZ,58
732,111IZ,26
733,111IZ,81
734,111IZ,83
735,111IZ,124
736,111IZ,107
737,111IZ,39
738,111IZ,27
739,111IZ,30
740,111IZ,102
741,111IZ,142
742,111IZ,19
743,111IZ,23
744,111IZ,58
745,111IZ,136
746,111IZ,79
747,111IZ,128
748,111IZ,73
749,111IZ,329
750,111IZ,51
751,111IZ,138
752,111IZ,104
753,111IZ,13
754,111IZ,58
755,111IZ,83
756,111IZ,141
757,111IZ,18
758,111IZ,137
759,111IZ,185
760,111IZ,192
761,111IZ,42
762,111IZ,156
763,111IZ,14
764,111IZ,189
765,111IZ,47
766,111IZ,188
767,111IZ,115
768,111IZ,15
769,111IZ,117
770,111IZ,140
771,111IZ,223
772,111IZ,29
773,111IZ,132
774,111IZ,59
775,111IZ,65
776,111IZ,145
777,111IZ,139
778,111IZ,64
779,111IZ,114
780,111IZ,23
781,111IZ,0
782,111IZ,138
783,111IZ,44
784,111IZ,13
785,111IZ,34
786,111IZ,13
787,111IZ,140
788,111IZ,138
789,111IZ,8
790,111IZ,30
791,111IZ,9
792,111IZ,31
793,111IZ,140
794,111IZ,144
795,111IZ,129
796,111IZ,114
797,111IZ,116
798,111IZ,136
799,111IZ,80
800,111IZ,26
801,111IZ,13
802,111IZ,26
803,111IZ,14
804,111IZ,43
805,111IZ,63
806,111IZ,134
807,111IZ,10
808,111IZ,91
809,111IZ,16
810,111IZ,79
811,111IZ,119
812,111IZ,125
813,111IZ,63
814,111IZ,54
815,111IZ,88
816,111IZ,76
817,111IZ,201
818,111IZ,115
819,111IZ,91
820,111IZ,95
821,111IZ,27
822,111IZ,67
823,111IZ,34
824,111IZ,93
825,111IZ,20
826,111IZ,137
827,111IZ,76
828,111IZ,31
829,111IZ,25
830,111IZ,22
831,111IZ,140
832,111IZ,139
833,111IZ,33
834,111IZ,15
835,111IZ,22
836,111IZ,27
837,111IZ,28
838,111IZ,32
839,111IZ,133
840,111IZ,19
841,111IZ,136
842,111IZ,62
843,111IZ,140
844,111IZ,141
845,111IZ,59
846,111IZ,56
847,111IZ,29
848,111IZ,26
849,111IZ,64
850,111IZ,57
851,111IZ,43
852,111IZ,141
853,111IZ,14
854,111IZ,142
855,111IZ,13
856,111IZ,132
857,111IZ,34
858,111IZ,147
859,111IZ,18
860,111IZ,23
861,111IZ,69
862,111IZ,143
863,111IZ,29
864,111IZ,81
865,111IZ,10
866,111IZ,142
867,111IZ,144
868,111IZ,25
869,111IZ,22
870,111IZ,145
871,111IZ,141
872,111IZ,112
873,111IZ,133
874,111IZ,23
875,111IZ,142
876,111IZ,125
877,111IZ,143
878,111IZ,70
879,111IZ,140
880,111IZ,60
881,111IZ,22
882,111IZ,26
883,111IZ,81
884,111IZ,215
885,111IZ,136
886,111IZ,21
887,111IZ,138
888,111IZ,137
889,111IZ,26
890,111IZ,27
891,111IZ,131
892,111IZ,0
893,111IZ,137
894,111IZ,138
895,111IZ,144
896,111IZ,86
897,111IZ,76
898,111IZ,136
899,111IZ,53
900,111IZ,80
901,111IZ,67
902,111IZ,29
903,111IZ,25
904,111IZ,89
905,111IZ,23
906,111IZ,16
907,111IZ,49
908,111IZ,132
909,111IZ,14
910,111IZ,89
911,111IZ,54
912,111IZ,25
913,111IZ,5
914,111IZ,27
915,111IZ,13
916,111IZ,28
917,111IZ,10
918,111IZ,32
919,111IZ,104
920,111IZ,141
921,111IZ,29
922,111IZ,32
923,111IZ,35
924,111IZ,96
925,111IZ,35
926,111IZ,16
927,111IZ,74
928,111IZ,130
929,111IZ,75
930,111IZ,34
931,111IZ,129
932,111IZ,9
933,111IZ,32
934,111IZ,27
935,111IZ,133
936,111IZ,14
937,111IZ,30
938,111IZ,38
939,111IZ,57
940,111IZ,74
941,111IZ,54
942,111IZ,76
943,111IZ,31
944,111IZ,56
945,111IZ,73
946,111IZ,30
947,111IZ,6
948,111IZ,72
949,111IZ,55
950,111IZ,42
951,111IZ,41
952,111IZ,29
953,111IZ,11
954,111IZ,44
955,111IZ,0
956,111IZ,17
957,111IZ,75
958,111IZ,30
959,111IZ,9
960,111IZ,13
961,111IZ,41
962,111IZ,100
963,111IZ,68
964,111IZ,40
965,111IZ,33
966,111IZ,75
967,111IZ,12
968,111IZ,98
969,111IZ,36
970,111IZ,34
971,111IZ,35
972,111IZ,103
973,111IZ,110
974,111IZ,21
975,111IZ,20
976,111IZ,35
977,111IZ,52
978,111IZ,40
979,111IZ,24
980,111IZ,116
981,111IZ,44
982,111IZ,50
983,111IZ,48
984,111IZ,98
985,111IZ,59
986,111IZ,46
987,111IZ,137
988,111IZ,30
989,111IZ,1
990,111IZ,5
991,111IZ,58
992,111IZ,25
993,111IZ,62
994,111IZ,64
995,111IZ,0
996,111IZ,29
997,111IZ,52
998,111IZ,28
999,111IZ,99
1000,111IZ,16
1001,111IZ,71
1002,111IZ,27
1003,111IZ,108
1004,111IZ,41
1005,111IZ,97
