,move,list_hr,0
17,ph_sphs,0,556
18,ph_sphs,1,553
19,ph_sphs,2,448
23,ph_sphs,3,373
22,ph_sphs,4,400
20,ph_sphs,5,435
21,ph_sphs,6,426
16,ph_sphs,7,570
14,ph_sphs,8,734
9,ph_sphs,9,811
13,ph_sphs,10,773
12,ph_sphs,11,781
10,ph_sphs,12,791
11,ph_sphs,13,790
7,ph_sphs,14,837
6,ph_sphs,15,845
4,ph_sphs,16,919
0,ph_sphs,17,1115
1,ph_sphs,18,1047
3,ph_sphs,19,1033
2,ph_sphs,20,1034
5,ph_sphs,21,881
8,ph_sphs,22,818
15,ph_sphs,23,591
