move,vehicle,hour,mean_speed
sp_sps,110JG,16,18.35947712
sp_sps,110JG,22,18.33986928
sp_sps,110JG,6,14.63601533
sp_sps,110JG,13,14.11437908
sp_sps,110JG,17,18.46618357
sp_sps,110JG,21,16.82795699
sp_sps,110JG,4,19.97735507
sp_sps,110JG,22,16.73520924
sp_sps,110JG,19,18.44618056
sp_sps,110JG,13,12.30902778
sp_sps,110JG,14,15.90277778
sp_sps,110JG,16,13.80015432
sp_sps,110JG,22,20.22058824
sp_sps,110JG,22,17.06018519
sp_sps,110JG,19,18.17647059
sp_sps,110JG,1,8.269230769
sp_sps,110JG,12,23.24561404
sp_sps,110JG,3,13.53942652
sp_sps,110JG,12,18.37837838
sp_sps,110JG,18,17.11622807
sp_sps,110JG,20,14.67447917
sp_sps,110JG,6,13.76915709
sp_sps,110JG,22,19.26821983
sp_sps,110JG,16,17.94560185
sp_sps,110JG,19,14.73290598
sp_sps,110JG,19,20.97222222
sp_sps,110JG,19,21.20870871
sp_sps,110JG,0,18.0239899
sp_sps,110JG,21,13.2183908
sp_sps,110JG,7,17.67512077
sp_sps,110JG,16,14.28932179
sp_sps,110JG,1,16.97971781
sp_sps,110JG,23,16.2202381
sp_sps,110JG,6,14.52265372
sp_sps,110JG,4,17.26111111
sp_sps,110JG,20,18.40277778
sp_sps,110JG,18,21.20580808
sp_sps,110JG,1,16.48268398
sp_sps,110JG,18,16.11496914
sp_sps,110JG,20,16.01234568
sp_sps,110JG,14,22.08812261
sp_sps,110JG,22,17.7991453
sp_sps,110JG,12,19.59064327
sp_sps,110JG,0,16.6
sp_sps,110JG,0,9.549382716
sp_sps,110JG,22,19.51388889
sp_sps,110JG,16,16.21212121
sp_sps,110JG,17,21.97916667
sp_sps,110JG,19,19.49494949
sp_sps,110JG,5,19.8973064
sp_sps,110JG,23,14.96704331
sp_sps,110JG,17,15.50108932
sp_sps,110JG,18,21.06481481
sp_sps,110JG,20,19.48412698
sp_sps,110JG,8,16.49444444
sp_sps,110JG,19,22.40740741
sp_sps,110JG,18,16.80087391
sp_sps,110JG,5,18.04619226
sp_sps,110JG,0,12.04861111
sp_sps,110JG,16,17.78571429
sp_sps,110JG,17,17.17836257
sp_sps,110JG,22,16.25262055
sp_sps,110JG,19,18.49116162
sp_sps,110JG,20,17.19230769
sp_sps,110JG,0,16.20456906
sp_sps,110JG,23,10.48611111
sp_sps,110JG,17,13.44717668
sp_sps,110JG,6,16.39846743
sp_sps,110JG,0,21.26876877
sp_sps,110JG,14,14.09900285
sp_sps,110JG,15,16.14833906
sp_sps,110JG,17,21.9263285
sp_sps,110JG,5,18.46568627
sp_sps,110JG,14,17.26851852
sp_sps,110JG,15,18.21869489
sp_sps,110JG,18,17.9964539
sp_sps,110JG,21,16.38888889
sp_sps,110JG,9,15.76388889
sp_sps,110JG,20,17.10167715
sp_sps,110JG,14,16.67290886
sp_sps,110JG,22,13.5
sp_sps,110JG,14,14.41043084
sp_sps,110JG,20,18.13172043
sp_sps,110JG,12,19.35077519
sp_sps,110JG,22,19.95884774
sp_sps,110JG,16,17.74101307
sp_sps,110JG,17,22.88793103
sp_sps,110JG,7,14.3
sp_sps,110JG,19,23.88888889
sp_sps,110JG,17,17.21326165
sp_sps,110JG,18,16.42361111
sp_sps,110JG,19,15.5988456
sp_sps,110JG,18,16.62121212
sp_sps,110JG,18,18.53587963
sp_sps,110JG,9,12.77777778
sp_sps,110JG,15,17.45833333
sp_sps,110JG,13,18.21684588
sp_sps,110JG,17,14.67447917
sp_sps,110JG,5,17.89473684
sp_sps,110JG,11,17.11840629
sp_sps,110JG,0,18.15049226
sp_sps,110JG,14,18.18602694
