"","x"
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",123
"651",123
"652",123
"653",123
"654",123
"655",124
"656",124
"657",124
"658",124
"659",124
"660",124
"661",125
"662",125
"663",125
"664",125
"665",0
"666",126
"667",126
"668",126
"669",127
"670",127
"671",127
"672",127
"673",127
"674",128
"675",128
"676",129
"677",129
"678",129
"679",130
"680",130
"681",130
"682",0
"683",0
"684",131
"685",131
"686",131
"687",131
"688",131
"689",0
"690",132
"691",132
"692",132
"693",132
"694",132
"695",133
"696",133
"697",133
"698",134
"699",134
"700",134
"701",135
"702",135
"703",135
"704",136
"705",136
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",137
"730",137
"731",137
"732",137
"733",137
"734",137
"735",137
"736",137
"737",137
"738",137
"739",137
"740",137
"741",137
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",138
"769",138
"770",0
"771",139
"772",139
"773",139
"774",140
"775",140
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",141
"807",141
"808",141
"809",142
"810",142
"811",0
"812",143
"813",143
"814",143
"815",0
"816",144
"817",144
"818",144
"819",145
"820",145
"821",145
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",146
"832",146
"833",146
"834",147
"835",147
"836",147
"837",147
"838",0
"839",0
"840",148
"841",148
"842",148
"843",148
"844",0
"845",149
"846",149
"847",150
"848",150
"849",150
"850",150
"851",150
"852",150
"853",151
"854",151
"855",151
"856",152
"857",152
"858",152
"859",152
"860",153
"861",153
"862",153
"863",154
"864",154
"865",155
"866",155
"867",156
"868",156
"869",156
"870",157
"871",157
"872",157
"873",158
"874",158
"875",158
"876",159
"877",159
"878",159
"879",0
"880",0
"881",0
"882",160
"883",160
"884",160
"885",0
"886",161
"887",161
"888",162
"889",162
"890",0
"891",0
"892",0
"893",0
"894",0
"895",163
"896",163
"897",164
"898",164
"899",0
"900",165
"901",165
"902",165
"903",0
"904",166
"905",166
"906",166
"907",167
"908",167
"909",167
"910",167
"911",168
"912",168
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",0
"920",0
"921",169
"922",169
"923",169
"924",170
"925",170
"926",170
"927",171
"928",171
"929",171
"930",172
"931",172
"932",173
"933",173
"934",174
"935",174
"936",0
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",0
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",0
"953",0
"954",0
"955",0
"956",0
"957",0
"958",0
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",0
"980",0
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",175
"1001",175
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",176
"1029",176
"1030",176
"1031",176
"1032",176
"1033",176
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",177
"1047",177
"1048",177
"1049",0
"1050",178
"1051",178
"1052",178
"1053",0
"1054",179
"1055",179
"1056",179
"1057",180
"1058",180
"1059",180
"1060",181
"1061",181
"1062",181
"1063",0
"1064",182
"1065",182
"1066",182
"1067",0
"1068",183
"1069",183
"1070",183
"1071",184
"1072",184
"1073",184
"1074",184
"1075",0
"1076",185
"1077",185
"1078",185
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",0
"1089",0
"1090",0
"1091",0
"1092",0
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",186
"1126",186
"1127",187
"1128",187
"1129",187
"1130",0
"1131",188
"1132",188
"1133",188
"1134",189
"1135",189
"1136",189
"1137",190
"1138",190
"1139",190
"1140",190
"1141",191
"1142",191
"1143",191
"1144",191
"1145",192
"1146",192
"1147",192
"1148",192
"1149",0
"1150",193
"1151",193
"1152",193
"1153",194
"1154",194
"1155",194
"1156",195
"1157",195
"1158",195
"1159",196
"1160",196
"1161",196
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",197
"1178",197
"1179",197
"1180",197
"1181",197
"1182",197
"1183",197
"1184",0
"1185",198
"1186",198
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0
"1197",0
"1198",0
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",0
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",0
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",0
"1230",0
"1231",0
"1232",0
"1233",0
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
"1239",0
"1240",0
"1241",0
"1242",0
"1243",0
"1244",0
"1245",0
"1246",199
"1247",199
"1248",199
"1249",199
"1250",0
"1251",200
"1252",200
"1253",0
"1254",201
"1255",201
"1256",202
"1257",202
"1258",203
"1259",203
"1260",203
"1261",204
"1262",204
"1263",204
"1264",205
"1265",205
"1266",0
"1267",206
"1268",206
"1269",207
"1270",207
"1271",0
"1272",208
"1273",208
"1274",208
"1275",208
"1276",0
"1277",0
"1278",209
"1279",209
"1280",209
"1281",210
"1282",210
"1283",210
"1284",211
"1285",211
"1286",211
"1287",0
"1288",212
"1289",212
"1290",212
"1291",212
"1292",213
"1293",213
"1294",0
"1295",214
"1296",214
"1297",214
"1298",215
"1299",215
"1300",0
"1301",216
"1302",216
"1303",217
