"","x"
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",97
"579",97
"580",97
"581",98
"582",98
"583",98
"584",98
"585",0
"586",99
"587",99
"588",99
"589",0
"590",0
"591",0
"592",100
"593",100
"594",100
"595",101
"596",101
"597",101
"598",101
"599",101
"600",101
"601",101
"602",102
"603",102
"604",102
"605",0
"606",103
"607",103
"608",103
"609",103
"610",104
"611",104
"612",104
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",105
"626",105
"627",105
"628",106
"629",106
"630",106
"631",106
"632",106
"633",106
"634",107
"635",107
"636",107
"637",108
"638",108
"639",108
"640",108
"641",109
"642",109
"643",109
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",110
"667",110
"668",110
"669",110
"670",111
"671",111
"672",0
"673",0
"674",112
"675",112
"676",0
"677",113
"678",113
"679",113
"680",113
"681",113
"682",114
"683",114
"684",114
"685",114
"686",114
"687",115
"688",115
"689",115
"690",115
"691",116
"692",116
"693",116
"694",117
"695",117
"696",117
"697",117
"698",117
"699",117
"700",118
"701",118
"702",118
"703",118
"704",119
"705",119
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",120
"739",120
"740",120
"741",0
"742",0
"743",121
"744",121
"745",121
"746",0
"747",122
"748",122
"749",122
"750",122
"751",123
"752",123
"753",123
"754",123
"755",123
"756",123
"757",123
"758",0
"759",124
"760",124
"761",124
"762",124
"763",124
"764",0
"765",0
"766",125
"767",125
"768",125
"769",125
"770",125
"771",125
"772",0
"773",0
"774",126
"775",126
"776",126
"777",126
"778",127
"779",127
"780",128
"781",128
"782",129
"783",129
"784",129
"785",129
"786",0
"787",130
