,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
0,1038,1081.9999998,0.12345754172994186,17838.624000000003,16,49.183748,18.863311,49.077779,18.926654
1,1020,1110.0,0.12359143731666582,17485.724000000002,22,49.18393,18.863032,49.078283,18.927169
2,730,780.0,0.11986038850679782,9837.591,6,49.18393,18.862946,49.217672,18.747933
3,1235,1255.0000002000002,0.14275238635483442,14108.017,13,49.183791,18.863225,49.19836,18.721218
4,576,606.0,0.12453660464698789,10355.252,17,49.183876,18.86301,49.226695,18.746066
5,810,844.0000002,0.12739288787447983,10912.735999999999,21,49.183887,18.86301,49.217071,18.740015
6,2089,2109.0,0.2704994214411567,44817.357,4,49.183876,18.86271,49.438246,18.7707
7,985,1027.9999997999998,0.13825222663667838,13304.582000000002,22,49.183909,18.863096,49.23045,18.732913
8,1071,1096.0000002,0.1078871674760253,18887.939999999995,19,49.183726,18.863096,49.082017,18.899081
9,1110,1153.9999998,0.13737665962600823,12467.685,13,49.183619,18.863161,49.22736,18.732934
10,979,994.0000002,0.1411413523316272,13226.468,14,49.183866,18.863289,49.230579,18.730102
11,1857,1879.0000002,0.09903295799378989,12484.757,16,49.18375800000001,18.863225,49.206493,18.766837
12,790,798.0,0.1033550401480236,15319.131,22,49.183351,18.862967,49.119621,18.944335
13,676,738.0,0.12465281253946939,10727.288999999999,22,49.183876,18.863075,49.215269,18.74244
14,916,945.0,0.1354234188609958,16466.495000000003,19,49.18395200000001,18.863032,49.173126,18.728042
15,138,153.0,0.007457160987934954,1600.7920000000001,1,49.184241,18.862581,49.186376,18.855436
16,283,346.0000000200001,0.006505553704337271,396.64099999999996,13,49.438525,18.772845,49.43874,18.779347
17,346,364.99999998,0.024794080341887972,6274.5650000000005,12,49.183726,18.863289,49.166388,18.881013
18,487,523.00000002,0.04879173803012173,4704.084,3,49.183844,18.863096,49.192942,18.81516
19,829,907.9999998,0.08688944196506115,7149.624,12,49.183844,18.863246,49.210902,18.780677
20,775,835.0000001999999,0.1555228177246003,15095.867,18,49.183801,18.863075,49.214529,18.710618
21,1767,1801.0000002,0.13902683450687123,21906.51,20,49.18393,18.862925,49.256478,18.744328
22,847,853.0000002,0.11951014931376887,10025.260000000002,6,49.184037,18.86256,49.217704,18.74789
23,1098,1113.0,0.15790632854955394,21754.989,22,49.184005,18.862624,49.131241,18.713794
24,1188,1240.9999998,0.07351547605776523,18796.228000000003,16,49.183984,18.863032,49.24311,18.819344
25,754,811.9999998,0.10698569221162336,9374.131,19,49.183898,18.863075,49.215805,18.760958
26,549,585.0,0.13063555140159727,12409.564,19,49.183855,18.863096,49.205742,18.734307
27,546,553.00000002,0.12670799947122557,10957.867999999999,19,49.183909,18.862839,49.223326,18.742418
28,607,643.9999998000001,0.128968955341972,11298.426000000001,0,49.183909,18.863139,49.22736,18.74171
29,374,475.99999998,0.046770358219708895,4617.6359999999995,21,49.183823,18.863139,49.175165,18.817177
30,677,696.0,0.1330455792012659,11591.878,7,49.18363,18.863289,49.211879,18.733277
31,1007,1018.9999998000001,0.14106700921902698,13415.33,16,49.18378,18.863096,49.23063300000001,18.730037
32,797,904.0000002,0.14654341583298566,13609.491,1,49.183984,18.863096,49.206954,18.718364
33,685,708.0,0.1331096016409044,11114.008000000002,23,49.183962,18.86286,49.212994,18.732955
34,1523,1537.0000002000002,0.1346561901881973,20771.783000000003,6,49.18395200000001,18.862817,49.06045200000001,18.916483
35,839,856.0000001999999,0.13537335839078626,12343.729,4,49.183834,18.863032,49.220043,18.732591
36,1251,1263.0,0.12710248639975585,20014.183,20,49.183919,18.863225,49.062319,18.900218
37,953,991.9999998000001,0.18856810443179195,21455.460000000003,18,49.183909,18.862882,49.153256,18.676822
38,1127,1183.9999998,0.07944491263762929,17473.555,1,49.183909,18.862946,49.240149,18.806834
39,1010,1017.0,0.15378212236797806,15071.558,18,49.183823,18.862882,49.215301,18.712356
40,711,736.9999998,0.12041470078441764,10450.963999999998,20,49.183909,18.862967,49.21735,18.747289
41,665,685.9999998,0.0923190039428506,13412.282000000001,14,49.183791,18.863182,49.114708,18.924422
42,676,739.9999998000001,0.14323307935319776,12098.573,22,49.183984,18.862882,49.215645,18.723192
43,762,783.0,0.09535167864804439,13790.432,12,49.183909,18.862967,49.110448,18.923757
44,844,871.0000001999999,0.12016414674935307,10396.423,0,49.183834,18.863246,49.217704,18.747954
45,1105,1125.0,0.05092480461425532,7407.99,0,49.18363,18.863547,49.19262,18.813422
46,755,805.9999998,0.09817315814416916,13975.276000000002,22,49.183876,18.863139,49.110834,18.928735
47,701,745.0000001999999,0.10031589313762848,8828.934,16,49.183715,18.863118,49.209819,18.766258
48,745,760.9999998,0.04517765918017663,15840.409,17,49.183909,18.863053,49.218949,18.834536
49,756,787.0000002,0.09653313114677652,14028.235,19,49.183909,18.863075,49.107412,18.921955
50,2159,2199.0,0.2703765308842524,42307.988,5,49.18393,18.862817,49.438107,18.770635
51,876,924.0,0.12254166926396937,12765.405999999999,23,49.183748,18.863204,49.200689,18.741839
52,742,778.9999998000001,0.1197515573218146,10835.985999999999,17,49.183909,18.86286,49.217704,18.747976
53,693,709.9999998000001,0.033770047038758105,4834.756,18,49.183866,18.862774,49.17024,18.893673
54,817,841.9999998,0.09128294610715272,13427.580000000002,20,49.18375800000001,18.863075,49.113967,18.921912
55,656,682.9999998,0.12063110347253488,10162.072,8,49.18364,18.863139,49.21726500000001,18.747289
56,657,696.0,0.09610809068959998,14049.185000000001,19,49.183694,18.863118,49.111564,18.926632
