,Time Error [s],Naive Time Error [s]
0,-36.94675674524834,-46.06777377653748
1,33.16800766775724,-12.942096764217434
2,92.5205467361932,61.444488193751184
3,-3.7506702835852934,-19.646904864750073
4,95.3332682445731,67.00298781935751
5,89.34641266658005,84.46552127561581
6,210.9082144917521,179.10598932241442
7,-25.622691657810368,-40.72371851600883
8,-256.9650534528555,-291.99752474515464
9,-147.3042459991036,-161.51343366303175
10,-88.36654709732167,-106.7931288889329
11,-3.434263418413991,-25.743476126018322
12,45.7382020899652,39.87357318278666
13,93.06539946151983,83.5824278097985
14,397.0268333781078,366.36011664394454
15,-97.69869203004998,-131.32171381378294
16,-38.1291491711604,-64.06001119632359
17,1300.1004622443606,1285.4371238155238
18,109.3964780526376,76.38652557505759
19,1387.7382513167,1374.4475357361814
20,-51.317368249954995,-75.08396526889788
21,119.28899102937652,110.46610584209644
22,-131.93068610592323,-138.83141427875105
23,119.02412378332315,115.18856942109042
24,48.21420598515391,14.93696791316367
25,114.75022508029393,100.27132962339877
26,-40.73428620966426,-75.26896286367327
27,139.8951303244433,128.76978289548038
28,115.34737227854127,87.25684164821418
29,170.4276077642836,170.39529721460755
30,-250.61027409263258,-286.0931040954787
31,151.2704472450116,140.62554116768658
32,-171.35703549122903,-192.61413439514877
33,139.1684619176191,107.0045894366273
34,-97.41195268563897,-134.61409332987097
35,-95.63221248273457,-110.42910301327514
36,170.58825888970165,161.8510396566499
37,-27.30816403650914,-58.2682874560843
38,39.313689043995446,5.122439915070508
39,208.7709636720511,184.94956702536433
40,349.74898267699746,333.5140419679732
41,1.6851088726640349,-8.47782736354863
42,-396.08867160997033,-426.8294776379135
43,213.45453349712744,207.5791719160798
44,4.48841162380279,-5.791806644613672
45,2.7661053978753145,-9.710759601943465
46,-165.9232941211172,-176.1002514547422
47,-1.1804533378763793,-17.586220851676323
48,67.42979899616009,48.324433907480895
49,133.6585971248332,119.55500627042751
50,-95.78768796795097,-125.44081061823213
51,92.63383987819306,90.70915075875234
52,206.89593278974422,177.2502506604608
53,-256.48887377867686,-276.88598420708314
54,-23.442777912984546,-39.58400579561734
