,Time Error [s],Naive Time Error [s]
2560,79.74639982937286,49.93775999768839
2561,90.47454685306958,71.58583893189325
2562,120.17982451396551,110.97381212911921
2563,656.4557092932389,658.7914175355133
2564,126.58312551227624,128.17656270859163
2565,98.87052821426583,100.8422322318962
2566,49.9786943119302,43.71758740925906
2567,230.79109607803167,232.72902690786094
2568,462.2430406883458,462.92532428047303
2569,125.08900858779259,118.6364982515448
2570,416.1576301574108,411.2454075942891
2571,5.735407952413794,0.3913078339158176
2572,49.423768407663246,53.267762922420076
2573,22.318572217626095,27.09139160383031
2574,130.62656526903118,123.6815555095804
2575,-40.09656695705259,-58.7709121046059
2576,131.61638500589547,124.03046362474434
2577,292.7482253526988,287.8543051819633
2578,-15.521039158443898,-13.308089228920732
2579,282.8020645634821,274.72584609600057
2580,21.796143690976894,17.495482746986262
2581,-67.20503894120117,-79.79053010950204
2582,354.1994737194112,345.77822249972616
2583,61.10929604888955,61.12194221905317
2584,-137.86390837891315,-134.92092275441053
2585,-0.3504846475993233,4.085794987924167
2586,-165.33769839540187,-161.97835691676497
2587,-231.58660576500165,-234.5178003468924
2588,-73.01165950224748,-81.79375570303668
2589,92.12493094374899,92.39964810498572
2590,-30.605418158552915,-28.04097380635632
2591,-215.51097210012443,-212.01024952588133
2592,160.0989486680154,155.4346647219274
2593,324.8339791535468,320.7680262877567
2594,45.324041973267384,24.92697264236601
2595,109.57835755365087,110.62401973832382
2596,179.44256194985442,178.18591995947122
2597,-138.4810846334569,-158.81392401200844
2598,-14.405862433835047,-26.7233650686792
2599,39.02075773511713,15.181776411648077
2600,73.54923772442316,77.37849909507099
2601,-7.905203110756911,-15.490194661667719
2602,78.04807262619245,78.98413654472138
2603,-71.22356972950146,-76.67811146988353
2604,-242.51182425151313,-263.34787484452005
2605,-103.69014558407515,-105.66257475599951
2606,152.31863737716606,153.33231298833215
2607,178.5461188147425,178.75976131078355
2608,-215.13072074899128,-213.67019701939648
2609,170.22033912216415,172.08374547286172
2610,-37.88746505232953,-37.46292705011201
2611,162.71172711600806,159.31959824844773
2612,-34.090808397175536,-31.851517782124823
2613,106.8121457861748,106.4854084266453
2614,-187.06349857982354,-187.57644479021073
2615,-72.75169021267116,-69.90665944504336
2616,-202.5227983507173,-200.2200538287059
2617,-82.74925434571472,-116.73807411709635
2618,-83.69714690969741,-81.40383154880715
2619,11.167549396141027,12.997815716744213
2620,-267.3540444614151,-271.10353614443494
2621,42.570307166778534,45.03943104237746
2622,199.71198544004517,199.07155111249295
2623,246.60588990945848,241.59061943961737
2624,261.3588746815772,261.4949659899706
2625,233.84601954870075,228.94103537704615
2626,-33.25684186134588,-52.989771385518885
2627,25.150505384010895,7.332377183127363
2628,912.4246170547583,880.9566458879108
2629,105.97320891525239,104.57897179416325
2630,133.4133729856311,116.03230421607992
2631,71.16420079484573,68.76587426022874
2632,0.9588517034933091,1.7151133721471297
2633,-39.83915266517148,-42.63176198255627
2634,82.78423540776384,81.74810986429371
2635,96.60686710351965,96.88650052625053
2636,96.11535060424453,102.54936376863645
2637,-733.7143169799682,-735.2470510155623
2638,-266.39836990062196,-282.5206271510786
2639,-73.12410243150566,-75.03010327817674
2640,241.0997655925392,245.85861956812084
2641,20.961120605076736,26.316903594721076
2642,175.1006310737809,173.15196976343248
2643,74.63512467215776,74.1190261690531
2644,-31.671358789464836,-30.266735038673573
2645,844.0616796032447,835.5488202663744
2646,54.344321826668256,54.51226198589542
2647,645.369344361178,644.1052376757563
2648,54.181612811977416,48.47391482557247
2649,-19.923416289328785,-21.65621724760166
2650,-5.44010766881091,-5.3521736710294405
2651,-113.14197383115412,-140.62035284409586
2652,23.017530382467378,21.927291967584324
2653,34.41260845064101,35.668120966762814
2654,172.44342762527793,177.60321089515958
2655,-33.72178692101207,-32.71091769395004
2656,9.179008324820082,11.039101055302279
2657,-30.434377165537853,-29.482410333689078
2658,272.1834726804286,272.3263702398145
2659,52.488420474922066,50.57659718054707
2660,-153.29467129546157,-148.16520321105247
2661,-103.04733572793118,-112.82553568179162
2662,59.81462364730498,60.60539510896337
2663,64.18797740290584,64.41851597201641
2664,-97.6124365804047,-96.85677780868241
2665,1075.392125575131,1077.0760507161558
2666,72.25631430953112,72.99409557515455
2667,-54.61637973783097,-52.38950773549321
2668,103.36802652418098,101.62690407207522
2669,666.2837172101054,666.4276515704199
2670,-420.02742466499944,-509.89989074347534
2671,-67.12311715484717,-75.22021306737162
2672,-8.402548071074122,-8.089575808755143
2673,71.55415704504719,67.2871207679061
2674,-177.6635416032843,-175.2352876267143
2675,44.91784580546596,42.02220244632042
2676,127.92210200716217,97.71762992813976
2677,223.37472127836844,224.34225871138426
2678,-220.4410427044047,-219.52916536307504
2679,41.35526434471031,38.136150642761855
2680,-38.644882683338494,-40.24603624630403
2681,42.22687105029667,42.853279405378096
2682,67.51565690950531,68.43275282802495
2683,113.3733968854348,113.09995729377542
2684,53.0610319214795,49.47852573860945
2685,-37.75620767392037,-40.944973413585316
2686,-31.48291139929195,-33.074484931114405
2687,-92.52023938376072,-107.04054587341408
2688,172.4287133460664,175.91383139021266
2689,276.7532459824256,282.2225991024932
2690,-266.87053836332643,-299.6854579744726
2691,-243.28306809347066,-255.01579301257274
2692,-106.94052351621096,-111.75897051870882
2693,54.780278108469744,52.96278700359473
2694,-21.729177062251857,-24.218314805818892
2695,1.3105491249148784,-10.72300630266519
2696,146.3917960653065,143.82035224593093
2697,-149.01853905074393,-160.70851585391006
2698,-477.7835000622164,-471.03385806300133
2699,194.2153597589084,194.68758544736605
2700,-49.277632819377274,-54.083670037857
2701,19.93525468526748,15.301432146671416
2702,-223.3310348532133,-218.9845249797093
2703,90.26636013362935,66.89988577534567
2704,70.30267064089041,65.54015999149911
2705,127.21025604623554,127.04538153989964
2706,-496.78831811317735,-492.23113308681997
2707,-179.31715962640874,-182.85661111479592
2708,74.68559466057627,74.83981349971661
2709,-66.12297965189694,-69.3362506249106
2710,-311.9832409104904,-307.38883404709986
2711,300.29072471096526,297.6871862969291
2712,-1.0316683125098862,4.040203994268289
2713,49.494598910530044,47.92032755133815
2714,9.061200689122057,6.918915645926891
2715,-69.50885240118123,-77.20187665865575
2716,112.02547338191698,112.8339430172501
2717,6.72810469228121,5.972613110317006
2718,-81.24398336276771,-79.16730618030229
2719,72.10400453726962,69.78521510050106
