Plate,MAPE original route,RMSE original route
110JG,1.4522310178483604,12837.168369947836
111IZ,2.227613454704822,7494.919574809371
125KK,2.265762141650442,13393.232016110305
171LF,2.6363654521215056,14306.333078550551
278JI,2.65720493982934,11453.67554245488
417IZ,1.1408131846760432,9953.696004264222
440HY,2.815633956898783,17090.123318877486
445LI,1.0749192212863996,4820.73581533065
471IH,2.473469206593008,16296.833889907386
580IZ,0.950092499090309,8484.030044102166
624KK,0.9555602710710666,5153.352851579357
724HU,1.5532086903971742,7115.892638765779
761GV,0.9692230373533053,2911.0551503146976
796ES,2.479315123125849,9409.80174387014
853KK,1.5946126678343315,9468.636833405882
