Plate,MAPE original route,RMSE original route
110JG,1.1633851343123878,8592.981436604576
111IZ,1.243779521640174,5637.587243643713
125KK,1.4092520815104024,10493.036908508235
171LF,2.139050230240183,9948.2637262899
278JI,2.2718912926054813,6945.244597764828
417IZ,0.8498838142716498,5559.599605900775
440HY,2.0276646489870833,12811.010327889384
445LI,1.2823833959331443,6654.397805774289
471IH,2.152560771358208,14518.32262090385
580IZ,0.7205074313539119,5167.108015052844
624KK,0.7569323914255215,3341.541745715883
724HU,0.9428739560385717,4404.558251551244
761GV,0.8576716128841928,3196.721647265918
796ES,1.7472199848984293,5719.640693534679
853KK,1.3095477090725363,9554.144358098558
