movement_id,x
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,2
28,2
29,2
30,3
31,3
32,3
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,0
48,0
49,0
50,0
51,0
52,5
53,5
54,5
55,5
56,0
57,6
58,6
59,7
60,7
61,7
62,8
63,8
64,8
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,10
74,10
75,10
76,0
77,11
78,11
79,11
80,12
81,12
82,12
83,12
84,13
85,13
86,0
87,14
88,14
89,14
90,14
91,0
92,15
93,15
94,0
95,16
96,16
97,16
98,17
99,17
100,17
101,18
102,18
103,18
104,19
105,19
106,0
107,20
108,20
109,21
110,21
111,21
112,21
113,0
114,22
115,22
116,22
117,22
118,22
119,22
120,22
121,22
122,22
123,23
124,23
125,24
126,24
127,25
128,25
129,25
130,26
131,26
132,26
133,0
134,27
135,27
136,27
137,27
138,0
139,0
140,0
141,28
142,28
143,28
144,29
145,29
146,29
147,29
148,29
149,29
150,30
151,30
152,30
153,0
154,31
155,31
156,0
157,32
158,32
159,32
160,32
161,0
162,0
163,33
164,33
165,33
166,33
167,34
168,34
169,34
170,35
171,35
172,35
173,35
174,36
175,36
176,36
177,37
178,37
179,37
180,38
181,38
182,38
183,0
184,0
185,0
186,0
187,0
188,39
189,39
190,39
191,40
192,40
193,40
194,0
195,41
196,41
197,42
198,42
199,42
200,42
201,0
202,43
203,43
204,43
205,43
206,43
207,43
208,0
209,44
210,44
211,44
212,45
213,45
214,45
215,45
216,45
217,45
218,45
219,45
220,0
221,0
222,46
223,46
224,46
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,47
240,47
241,47
242,47
243,47
244,48
245,48
246,48
247,49
248,49
249,0
250,0
251,0
252,50
253,50
254,50
255,0
256,51
257,51
258,51
259,52
260,52
261,52
262,0
263,53
264,53
265,53
266,54
267,54
268,54
269,0
270,0
271,55
272,55
273,55
274,56
275,56
276,0
277,0
278,57
279,57
