EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
889,153.766,11.0,12.333333333333334
889,153.766,12.0,14.0
889,153.766,13.0,16.666666666666668
889,153.766,14.0,12.0
889,153.766,15.0,16.5
889,153.766,16.0,12.5
889,153.766,17.0,13.75
889,153.766,18.0,15.285714285714286
889,153.766,19.0,11.8
889,153.766,20.0,15.625
889,153.766,21.0,16.5
889,153.766,22.0,14.8
889,153.766,23.0,19.8
890,16.419,0.0,
890,16.419,1.0,
890,16.419,2.0,
890,16.419,3.0,
890,16.419,4.0,
890,16.419,5.0,
890,16.419,6.0,19.0
890,16.419,7.0,
890,16.419,8.0,
890,16.419,9.0,
890,16.419,10.0,9.5
890,16.419,11.0,11.0
890,16.419,12.0,9.0
890,16.419,13.0,
890,16.419,14.0,
890,16.419,15.0,
890,16.419,16.0,
890,16.419,17.0,8.0
890,16.419,18.0,10.5
890,16.419,19.0,
890,16.419,20.0,10.5
890,16.419,21.0,
890,16.419,22.0,19.0
890,16.419,23.0,11.0
891,68.773,0.0,13.666666666666666
891,68.773,1.0,13.0
891,68.773,2.0,10.0
891,68.773,3.0,18.0
891,68.773,4.0,14.0
891,68.773,5.0,18.0
891,68.773,6.0,12.5
891,68.773,7.0,15.0
891,68.773,8.0,11.0
891,68.773,9.0,10.5
891,68.773,10.0,11.8
891,68.773,11.0,14.6
891,68.773,12.0,11.0
891,68.773,13.0,9.666666666666666
891,68.773,14.0,12.5
891,68.773,15.0,14.0
891,68.773,16.0,15.25
891,68.773,17.0,13.5
891,68.773,18.0,11.3
891,68.773,19.0,13.0
891,68.773,20.0,19.0
891,68.773,21.0,13.6
891,68.773,22.0,11.714285714285714
891,68.773,23.0,10.5
892,43.444,0.0,20.0
892,43.444,1.0,14.2
892,43.444,2.0,
892,43.444,3.0,
892,43.444,4.0,13.25
892,43.444,5.0,17.0
892,43.444,6.0,13.0
892,43.444,7.0,
892,43.444,8.0,11.0
892,43.444,9.0,
892,43.444,10.0,
892,43.444,11.0,9.0
892,43.444,12.0,
892,43.444,13.0,9.0
892,43.444,14.0,13.5
892,43.444,15.0,17.5
892,43.444,16.0,16.0
892,43.444,17.0,16.5
892,43.444,18.0,17.5
892,43.444,19.0,13.0
892,43.444,20.0,13.5
892,43.444,21.0,15.0
892,43.444,22.0,16.5
892,43.444,23.0,14.6
893,163.516,0.0,12.4
893,163.516,1.0,12.0
893,163.516,2.0,13.333333333333334
893,163.516,3.0,10.333333333333334
893,163.516,4.0,10.75
893,163.516,5.0,
893,163.516,6.0,11.5
893,163.516,7.0,19.0
893,163.516,8.0,15.0
893,163.516,9.0,17.5
893,163.516,10.0,13.571428571428571
893,163.516,11.0,13.333333333333334
893,163.516,12.0,14.2
893,163.516,13.0,14.0
893,163.516,14.0,12.5
893,163.516,15.0,12.875
893,163.516,16.0,12.0
893,163.516,17.0,13.23076923076923
893,163.516,18.0,11.181818181818182
893,163.516,19.0,10.363636363636363
893,163.516,20.0,14.222222222222221
893,163.516,21.0,11.5
893,163.516,22.0,13.142857142857142
893,163.516,23.0,12.375
894,202.018,0.0,12.4
894,202.018,1.0,12.666666666666666
894,202.018,2.0,13.5
894,202.018,3.0,15.833333333333334
894,202.018,4.0,15.666666666666666
894,202.018,5.0,18.5
894,202.018,6.0,12.857142857142858
894,202.018,7.0,15.0
894,202.018,8.0,14.0
894,202.018,9.0,11.75
894,202.018,10.0,12.571428571428571
894,202.018,11.0,15.3
894,202.018,12.0,10.75
