,EdgeID,Length(m)(poly),from_node,to_node,weight
26,884,125.75399999999999,106668,145614,"[15.90277778, 13.05555556, 13.05555556, 16.38888889, 16.71296296, 14.768518516, 15.324074073333334, 17.916666665, 17.352430555, 16.527777777142855, 15.972222223333334, 16.1284722225, 17.21450617222222, 17.023809522857142, 16.358024690000004, 18.993055555, 15.989583333750002, 15.77380952285714, 16.377957818666662, 9.166666668000001, 17.152777778, 11.481481482, 16.944444442, 16.74479167]"
27,885,164.231,145599,145614,"[18.564814815111113, 16.481481480370373, 18.981481481481485, 17.986111111111114, 18.19444444361111, 18.274160879351854, 18.541666666666668, 18.719135802777778, 18.51851852, 18.062499999, 18.407600308425927, 17.795664982424245, 19.926697530432097, 18.30246913765432, 17.933333333234568, 20.037037038444446, 17.24551504712963, 18.39528867143791, 17.454148860042736, 18.759861583760394, 18.361028439732145, 14.511574074740743, 18.151620370333337, 18.163580248333336]"
28,886,11.203,145599,145615,"[19.796296296222224, 16.70138889037037, 20.590277777777782, 18.39120370388889, 19.14930555722222, 19.966290509328704, 19.30555555611111, 19.60069444358025, 19.189814815, 19.053240739333337, 18.695666152746913, 18.755260942659934, 20.41538065963992, 19.12037036976431, 18.888176637094016, 20.69444444333333, 18.708333332870374, 19.579248366013072, 18.523860399783473, 20.272226946651553, 19.878354120192743, 17.42628205058974, 19.303240740444444, 18.70370370265432]"
29,887,119.311,145615,145617,"[20.611111111333337, 16.92129629703704, 22.199074074074076, 18.796296296666668, 19.861111113333333, 21.14626736055555, 19.583333333055553, 20.482253086049386, 19.3923611125, 20.04398148166667, 18.937435700401235, 19.66435185107744, 20.904063786347738, 19.670781893004115, 19.99753086387654, 21.351851850222225, 19.887586804583336, 20.76320806117647, 19.729789885870368, 21.78459230954271, 20.69692460331349, 18.717171717272723, 18.68371212159596, 19.24382716030864]"
30,888,227.40900000000002,145617,145619,"[19.351851853333333, 12.5, 12.5, 18.88888889, 20.879629629999997, 21.597222225, 19.90740741, 21.267361110000003, 19.531250002500002, 19.508928571428573, 18.09670781777778, 19.84375, 19.95370370111111, 19.782986111250004, 19.25925925875, 22.34375, 18.61574074125, 19.880952382857142, 19.324845679277782, 19.212962963333336, 20.111111111000003, 17.972222222000003, 19.083333332000002, 18.71527778]"
31,888,227.40900000000002,145617,145619,"[22.083333333333336, 18.87152777777778, 23.25231481481482, 18.61111111111111, 18.61111111111111, 21.56564153439154, 20.0, 21.215277777777782, 21.215277777777782, 22.160493827160497, 21.70138888888889, 20.09259259259259, 25.555555555555568, 19.907407407407405, 21.338888888888892, 21.180555555555557, 20.98015873015873, 23.86111111111111, 21.86728395061729, 23.354377104377104, 22.12384259259259, 21.312500000000004, 23.138888888888893, 21.388888888888893]"
32,889,153.766,145604,145619,"[20.238888887481483, 16.75925925888889, 23.712962962962965, 18.055555554999998, 19.708333334444447, 21.427662037037038, 19.013888888055554, 21.455439816203704, 21.799768518703704, 20.24421296274074, 18.424382715000004, 19.78324915872054, 20.453703703444443, 19.54475308790124, 20.31543209920988, 22.395833332000002, 20.174564270718957, 22.139025054226583, 19.6886145404856, 22.191798941640222, 20.40581597208334, 19.62037037070707, 20.85462962951852, 19.319058642469138]"
33,890,16.419,2486,145604,"[20.17916666562963, 16.79320987666667, 23.618055555555557, 17.951388887222222, 16.72083333428889, 21.718981481481485, 18.311111112, 19.422067900864196, 19.6875, 20.428703703370367, 18.384452161296295, 19.74010942774411, 20.904899691759255, 19.63194444477778, 20.24917328068783, 22.452777776, 19.25848765466667, 22.10076252734205, 19.67729766761317, 22.18700396809524, 20.791666668444442, 19.570216049444443, 19.699915824791244, 19.21682098697531]"
34,891,68.773,2486,145607,"[20.119444443777777, 16.827160494444446, 23.52314814814815, 17.847222224444444, 16.84166666762222, 22.032076719576725, 17.88888888925926, 19.417052469135804, 19.73090278, 20.374768519074074, 18.356095679259262, 19.674873737676766, 20.978395062283955, 19.59385521959596, 20.297364672307694, 22.518981481999997, 19.256635802740742, 22.062500000457515, 19.681412894444446, 22.145833333174608, 21.02926587349206, 19.80555555538462, 20.041245792020206, 19.11458333148148]"
35,892,43.443999999999996,145605,145607,"[21.888888888888893, 18.833333333333336, 23.428240740740744, 17.708333333333336, 17.27777777777778, 21.82175925925926, 18.54166666666667, 17.939814814814817, 17.939814814814817, 22.800925925925934, 22.410493827160497, 18.75, 24.067901234567902, 19.421296296296294, 21.666666666666668, 24.0, 20.629960317460327, 23.610648148148147, 20.81095679012346, 23.050505050505055, 22.974537037037038, 21.123015873015877, 22.823148148148153, 20.555555555555557]"
36,892,43.443999999999996,145605,145607,"[19.303240743333333, 12.91666667, 12.91666667, 17.77777778, 16.81423611175, 21.5625, 17.56481481333333, 22.263888889999997, 19.774305555, 19.218253968571425, 17.24974279888889, 19.972511573749998, 20.015689301111113, 19.41550925875, 19.7028356475, 22.208333335, 18.04861111125, 19.943121692857144, 19.126028806666667, 18.636574069999998, 20.034722222000003, 17.438888888, 18.34876543333333, 18.599537035]"
37,893,163.516,145598,145605,"[20.555555555333335, 16.99537037, 23.33333333333334, 17.847222223888892, 16.972222222288888, 21.568576388819444, 18.194444444166667, 19.327932098950615, 19.6875, 20.117592592481483, 18.79320987598765, 19.592101571414137, 21.0925925925, 19.271885521111116, 20.548907882820515, 22.579629632, 18.61832788751634, 22.128267973834422, 19.653635116748976, 22.06349206404762, 20.834780092245367, 19.608585859797977, 20.545735129932662, 19.128086420740743]"
38,894,202.018,145379,145598,"[20.370370370000003, 17.592592594074077, 22.962962962962965, 18.09027778, 16.562500000533333, 21.232638888888893, 18.472222223055553, 21.712962962962962, 19.51388889, 19.92129629585185, 19.349922839444446, 19.573512907171718, 21.15547839601852, 18.364197529259258, 20.690329217777776, 22.61111111, 17.861689815208333, 22.214506172469136, 19.7235082308642, 21.808862434100526, 20.481770833194442, 18.98358585929293, 19.353137859833332, 15.746527778499999]"
39,895,266.218,145379,145597,"[20.527777778148153, 17.222222223703707, 23.51851851851852, 18.402777776111108, 16.93055555488889, 20.839843750069452, 17.187500001166665, 18.611111112037037, 18.958333330000002, 19.798611111, 19.498456790462964, 18.852237654444448, 21.523569022962963, 18.905723904579126, 20.302706552393165, 22.56481481303704, 16.684027777791666, 21.12573099452047, 19.927126200082302, 21.84689153439154, 20.672743055277778, 18.743686867676768, 19.657600308703703, 18.839285715079367]"
40,896,245.495,145376,145597,"[20.305555556518517, 17.592592591481488, 24.074074074074076, 18.47222222166667, 16.556944442977777, 21.493055555555557, 18.62847222138889, 23.07098765283951, 19.5833333325, 20.29861111155556, 19.86111111185185, 20.273919752685185, 21.601851853074074, 19.332561729074072, 20.608974359059832, 22.851851850074073, 18.708333333318524, 22.565789474327488, 20.607853223786012, 22.587962962962965, 20.81481481474074, 18.74368686888889, 20.777391975925926, 20.198412697936508]"
41,897,186.593,145376,145378,"[20.016975307530863, 17.916666665555557, 24.93827160493827, 17.777777778333334, 13.896296296155555, 21.471354166736116, 19.131944445277778, 20.164930555679014, 19.0740740725, 20.51440329304527, 19.964387464586892, 20.024884259537036, 18.50925925944445, 19.685570986574078, 20.04273504316239, 21.135706018194444, 18.756613755793655, 22.709551656530213, 20.784465020233203, 21.67098765469382, 21.228395062419754, 19.60016835006734, 21.28858024740741, 20.582010581746033]"
42,898,54.693999999999996,2487,145378,"[18.858024691358025, 20.55555555555556, 24.675925925925927, 17.777777777777782, 18.333333333333336, 21.39550264550265, 20.972222222222214, 21.099537037037035, 21.099537037037035, 22.754629629629633, 23.055555555555557, 21.250000000000004, 21.250000000000004, 21.59722222222223, 13.101851851851853, 25.0, 22.407407407407412, 25.09048821548822, 20.555555555555554, 23.373316498316502, 22.18460648148148, 20.675154320987655, 23.67592592592593, 22.22222222222222]"
43,898,54.693999999999996,2487,145378,"[19.814814813333335, 13.19444444, 13.19444444, 10.9722222215, 17.00617283833333, 18.796296294999998, 17.847222223333333, 21.221064815, 18.773148147500002, 19.14682539714286, 17.974279835555553, 18.94753086322222, 20.439814815000002, 19.0567129625, 19.22453703625, 19.485780425285718, 16.6309799375, 19.247685184999998, 19.935699587777776, 16.759259260249998, 18.6491402127, 17.694444446, 16.51041666625, 19.768518518]"
44,899,44.065,2500,259494,"[10.091666666888889, 14.27777778, 14.27777778, 14.27777778, 8.866666667, 8.866666667, 10.58333333, 8.473958333, 8.473958333, 8.473958333, 15.0, 15.0, 8.805555556, 7.57876984025, 11.67824074, 6.559876543333334, 6.820987654500001, 6.820987654500001, 9.063425925046296, 8.692901235, 10.257936506825397, 10.72916667, 8.722222222, 8.9745370375]"
45,900,355.93800000000005,2530,259494,"[9.305555556, 15.41666667, 15.41666667, 15.41666667, 7.333333333, 7.333333333, 10.55555556, 8.333333332999999, 7.361111111, 7.361111111, 13.05555556, 13.05555556, 9.305555556, 6.866402116750001, 11.94444444, 6.3796296295, 7.371296296399999, 7.371296296399999, 7.679012345666666, 8.958333332999999, 9.791666667000001, 11.52777778, 7.986111111, 8.7037037035]"
46,900,355.93800000000005,2530,259494,"[9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 9.222222222222225, 8.75, 8.75, 9.047619047619047, 9.047619047619047, 9.047619047619047, 9.047619047619047]"
47,901,60.701,2530,87452,"[11.380787035, 16.57407407, 16.57407407, 16.57407407, 6.37037037, 6.37037037, 12.77777778, 10.80246914, 6.041666667, 6.041666667, 14.25925926, 14.25925926, 6.805555556, 8.35846560825, 12.22222222, 9.654320987, 10.074845681333334, 10.074845681333334, 9.18557098875926, 9.722222222, 11.378968256190475, 2.5, 8.51851852, 10.90432099]"
48,902,18.195,87452,144155,"[13.49768518388889, 17.73148148, 17.73148148, 17.73148148, 5.407407407000001, 5.407407407000001, 15.0, 13.27160494, 13.27160494, 13.27160494, 15.46296296, 15.46296296, 4.305555556, 10.140211641, 12.77777778, 12.929012345, 15.09259259, 15.09259259, 12.561728394500001, 12.40740741, 13.33829364857143, 6.435185185, 13.75, 13.104938275]"
49,1374,158.704,2520,142799,"[10.7334339786, 10.74691358, 11.243055556296298, 11.288323044487655, 12.523791151666666, 11.964616402195768, 12.552083333333334, 9.796322017018518, 9.229012346000001, 9.750771605277778, 10.501131687703705, 12.028645832638887, 11.628858026425926, 10.882793209922223, 10.601041666066667, 8.45105819957143, 9.478498218115469, 9.64931520069676, 10.850702127666668, 10.700547357295141, 11.913461539145299, 10.542148920333334, 11.99189814761111, 11.316137566629632]"
50,1375,148.101,142799,142801,"[10.8007917336, 12.044753086999998, 12.339891976419755, 10.69701646282716, 12.076903291666667, 12.471478174603176, 13.761574075277778, 11.537422838728396, 12.37345679, 11.73996913474074, 11.91049382689712, 11.953124999652777, 12.79320987645679, 11.285493827088887, 12.063888889311112, 12.48070988, 11.2360175828107, 12.578800153442131, 12.37980332467725, 11.624131945284725, 12.88026274208547, 11.494984569416665, 13.493716930185187, 11.809689153481482]"
51,1376,89.92299999999999,142801,142802,"[11.638519860599999, 12.874657064555556, 13.405092592962964, 11.762731480012347, 13.309220678333332, 13.521880511463847, 14.688946759537039, 12.213220164783952, 13.340123457999999, 13.069830247277778, 12.764146090880658, 12.971643516666665, 13.59369488631217, 12.710339507866667, 12.654629630814817, 13.227366253333335, 12.328805025178324, 13.874710647564813, 13.489450055153705, 12.912867097225964, 13.746043052364673, 12.801504629666667, 14.528935186455026, 13.044201940052911]"
52,1377,76.577,142802,142804,"[12.5595813194, 13.842163924444444, 14.470293209506174, 13.415740740437036, 14.546682098333333, 14.175457451975308, 15.616319443796296, 12.961033950617287, 13.8, 14.0640432095, 13.621472662627866, 13.910590279074073, 14.363315695970018, 13.714197529703705, 13.487500000370371, 13.455761316666667, 13.417477241817558, 14.54224536958102, 14.499782546944441, 13.77978862714553, 14.611823360797722, 13.814814815833335, 15.248346560582009, 14.119984568624341]"
53,1378,71.495,2521,142804,"[13.4806427784, 14.619684498888887, 15.535493827716051, 14.107870371259258, 15.271026233333336, 14.718253968492066, 16.543692130555556, 13.708847736728394, 14.148765434000001, 15.058256172222224, 14.447935036819517, 14.594907406481482, 15.090498234294534, 14.588888889074074, 14.320370370925925, 13.684156378333334, 14.200851103456792, 15.209780091222223, 15.317792509185185, 15.100171744002388, 15.439142133846154, 14.736742423636365, 15.317901234185188, 15.195767197195766]"
54,1379,23.913,2521,142805,"[13.3822597954, 14.67223937, 15.738425927160494, 14.527777779481482, 15.906635803333332, 15.003561253789174, 16.336111111111116, 13.751286006893006, 14.197530862000002, 15.429012346111113, 14.257936508788946, 14.523148147824076, 15.209656085952382, 14.452160492444444, 14.310185183925928, 13.562242798333331, 14.117541152798351, 14.383442266470592, 15.232638889055556, 15.232750896021502, 15.485181227378916, 14.980218854545456, 15.174382716170367, 15.29563491920635]"
55,1380,44.63,2522,142805,"[13.2838768124, 14.724794240000001, 15.941358024938275, 14.454629631703702, 15.815972223333334, 14.882300570455843, 16.15486111088889, 13.44135802489712, 14.246296297999999, 15.415895061666667, 13.997207523639037, 14.167824074166669, 15.32881393261023, 14.315432098814815, 14.299999998925927, 13.319315843333333, 13.895985317139917, 15.825708061437902, 15.057786194851852, 15.087813620728795, 15.392331433988605, 15.146885521818183, 15.884589947380954, 11.785236624403291]"
56,1381,33.163000000000004,2522,145919,"[13.1854938274, 14.411265432222223, 15.679012346419753, 14.339506171283949, 15.725308643333333, 14.744658119971511, 15.973611110666667, 12.893518517845681, 14.004320988, 15.120370370555557, 13.736478540711346, 13.812499999259261, 14.98037918760141, 14.094135803185186, 14.015586418925926, 13.028034980000001, 13.638592717037035, 15.333061001633984, 14.749137204814811, 14.826015531624853, 14.973358197314814, 15.046759259000002, 14.604526748795061, 13.039351851907407]"
57,1382,45.485,142787,145919,"[13.0871108424, 14.097736624444446, 15.416666666234569, 14.224382716864199, 15.407021606666666, 14.607015669487184, 15.792361110444443, 12.345679011683126, 13.539197532, 14.824845677777779, 13.475749557783656, 13.457175926851852, 14.631944445925924, 13.687345681555556, 13.698765431925926, 12.581147121666666, 13.381200119156379, 14.866966230065358, 14.440488216277782, 14.56421744381123, 14.743527091141978, 14.842824073, 14.383436215301233, 12.820312498736111]"
58,1383,236.08599999999998,142787,142788,"[16.682098765432098, 16.682098765432098, 16.682098765432098, 14.722222222222225, 14.722222222222225, 13.699074074074076, 15.590277777777777, 14.104938271604938, 14.104938271604938, 13.773148148148147, 12.476851851851851, 13.402777777777777, 16.296296296296298, 13.726851851851855, 13.780864197530866, 13.780864197530866, 13.217592592592593, 15.333333333333334, 16.516203703703706, 15.66798941798942, 13.541666666666664, 13.541666666666664, 15.432098765432102, 14.92283950617284]"
59,1383,236.08599999999998,142787,142788,"[12.9979871194, 13.876028806666666, 13.626543210000001, 14.1319444425, 15.088734568333331, 15.771604936666668, 15.69444444, 11.888888889466667, 13.018518517999999, 15.231481482500001, 13.346560845714285, 13.016975308333334, 14.11111111, 13.206018517499999, 13.240740740000001, 12.0333333328, 12.948260382666668, 13.906250000833332, 13.535748105625, 13.953510802916663, 15.050505051818181, 14.469696969090911, 14.99158249181818, 13.888888889999999]"
60,1384,51.248000000000005,2489,255522,"[15.07952123763889, 14.734439299876543, 16.855058522095558, 12.767232510434567, 14.910461676203703, 15.24039693037121, 15.259285195835666, 15.358578663433047, 14.661838290584734, 14.966677256978212, 14.614911980339961, 12.806612575664351, 15.937431917790848, 16.116333222970677, 15.34057522149912, 16.037482964000002, 13.543871252027433, 15.766504997538622, 15.628162806959066, 16.7408771139764, 14.896405752088556, 15.510591197017144, 15.434439140966877, 15.068575329146253]"
61,1385,375.486,145145,255522,"[15.231481481086421, 16.48148148055556, 17.899230398912938, 13.939814814148146, 16.39178240875, 16.762125220405643, 16.729302831895424, 16.81547619020106, 17.037037036666668, 16.274509804967316, 16.509773663333334, 15.215530657013073, 18.331971677124187, 18.20061728355556, 17.25088183409171, 17.937710436363634, 15.651577503358025, 16.570408950466046, 16.900324469657164, 18.124554843461535, 15.674235745300999, 16.516387419580248, 17.27912808594136, 16.381766382444447]"
