"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",1
"7",1
"8",1
"9",1
"10",2
"11",2
"12",2
"13",3
"14",3
"15",3
"16",4
"17",4
"18",4
"19",4
"20",5
"21",5
"22",5
"23",6
"24",6
"25",7
"26",7
"27",7
"28",8
"29",8
"30",9
"31",9
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",10
"41",10
"42",10
"43",11
"44",11
"45",11
"46",11
"47",12
"48",12
"49",0
"50",0
"51",13
"52",13
"53",13
"54",13
"55",13
"56",13
"57",13
"58",14
"59",14
"60",0
"61",15
"62",15
"63",16
"64",16
"65",16
"66",17
"67",17
"68",17
"69",17
"70",17
"71",18
"72",18
"73",19
"74",19
"75",19
"76",0
"77",0
"78",20
"79",20
"80",20
"81",21
"82",21
"83",21
"84",22
"85",22
"86",22
"87",23
"88",23
"89",23
"90",0
"91",24
"92",24
"93",24
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",25
"112",25
"113",25
"114",25
"115",26
"116",26
"117",26
"118",26
"119",0
"120",27
"121",27
"122",27
"123",27
"124",27
"125",27
"126",28
"127",28
"128",29
"129",29
"130",29
"131",30
"132",30
"133",30
"134",31
"135",31
"136",31
"137",31
"138",31
"139",31
"140",32
"141",32
"142",32
"143",33
"144",33
"145",33
"146",33
"147",33
"148",0
"149",0
"150",34
"151",34
"152",0
"153",35
"154",35
"155",35
"156",35
"157",0
"158",0
"159",36
"160",36
"161",36
"162",36
"163",37
"164",37
"165",38
"166",38
"167",38
"168",39
"169",39
"170",39
"171",39
"172",39
"173",39
"174",40
"175",40
"176",40
"177",0
"178",0
"179",0
"180",0
"181",0
"182",41
"183",41
"184",41
"185",41
"186",0
"187",42
"188",42
"189",42
"190",42
"191",43
"192",43
"193",43
"194",43
"195",43
"196",43
"197",43
"198",44
"199",44
"200",44
"201",45
"202",45
"203",45
"204",46
"205",46
"206",46
"207",0
"208",0
"209",47
"210",47
"211",47
"212",47
"213",47
"214",0
"215",0
"216",0
"217",0
"218",0
"219",48
"220",48
"221",48
"222",0
"223",0
"224",0
