"","x"
"640",0
"641",123
"642",123
"643",123
"644",0
"645",124
"646",124
"647",124
"648",0
"649",125
"650",125
"651",125
"652",126
"653",126
"654",126
"655",126
"656",0
"657",127
"658",127
"659",127
"660",128
"661",128
"662",128
"663",129
"664",129
"665",129
"666",0
"667",130
"668",130
"669",130
"670",130
"671",131
"672",131
"673",131
"674",132
"675",132
"676",132
"677",132
"678",132
"679",133
"680",133
"681",134
"682",134
"683",134
"684",135
"685",135
"686",136
"687",136
"688",136
"689",137
"690",137
"691",137
"692",138
"693",138
"694",138
"695",139
"696",139
"697",139
"698",139
"699",140
"700",140
"701",140
"702",0
"703",0
"704",0
"705",141
"706",141
"707",141
"708",142
"709",142
"710",142
"711",143
"712",143
"713",143
"714",144
"715",144
"716",144
"717",145
"718",145
"719",145
"720",146
"721",146
"722",146
"723",147
"724",147
"725",147
"726",148
"727",148
"728",148
"729",149
"730",149
"731",149
"732",0
"733",150
"734",150
"735",150
"736",150
"737",150
"738",150
"739",150
"740",150
"741",150
"742",151
"743",151
"744",151
"745",151
"746",151
"747",0
"748",152
"749",152
"750",152
"751",0
"752",153
"753",153
"754",154
"755",154
"756",154
"757",154
"758",154
"759",154
"760",154
"761",154
"762",155
"763",155
"764",155
"765",0
"766",156
"767",156
"768",156
"769",157
"770",157
"771",157
"772",157
"773",157
"774",0
"775",0
"776",158
"777",158
"778",158
"779",0
"780",159
"781",159
"782",159
"783",159
"784",159
"785",159
"786",160
"787",160
"788",160
"789",0
"790",0
"791",161
"792",161
"793",0
"794",0
"795",162
"796",162
"797",162
"798",163
"799",163
"800",163
"801",0
"802",164
"803",164
"804",164
"805",165
"806",165
"807",0
"808",0
"809",0
"810",0
"811",166
"812",166
"813",166
"814",167
"815",167
"816",167
"817",0
"818",168
"819",168
"820",168
"821",169
"822",169
"823",169
"824",169
"825",169
"826",169
"827",169
"828",170
"829",170
"830",170
"831",170
"832",170
"833",171
"834",171
"835",171
"836",0
"837",172
"838",172
"839",0
"840",0
"841",173
"842",173
"843",173
"844",173
"845",174
"846",174
"847",174
"848",174
"849",174
"850",175
"851",175
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",176
"864",176
"865",0
"866",177
"867",177
"868",177
"869",178
"870",178
"871",179
"872",179
"873",179
"874",0
"875",180
"876",180
"877",180
"878",180
"879",180
"880",181
"881",181
"882",181
"883",181
"884",0
"885",182
"886",182
"887",182
"888",0
"889",0
"890",0
"891",0
"892",183
"893",183
"894",183
"895",184
"896",184
"897",184
"898",184
"899",185
"900",185
"901",185
"902",0
"903",186
"904",186
"905",186
"906",187
"907",187
"908",187
"909",188
"910",188
"911",188
"912",188
"913",189
"914",189
"915",189
"916",189
"917",190
"918",190
"919",190
"920",190
"921",0
"922",191
"923",191
"924",191
"925",191
"926",192
"927",192
"928",192
"929",192
"930",192
"931",193
"932",193
"933",193
"934",194
"935",194
"936",194
"937",0
"938",0
"939",195
"940",195
"941",195
"942",0
"943",0
"944",0
"945",196
"946",196
"947",196
"948",196
"949",0
"950",0
"951",0
"952",0
"953",0
"954",0
"955",0
"956",0
"957",0
"958",0
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",0
