,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
14,14,876,12.194,"[2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235, 2.6923363211184235]",5,2503,49.42394233,18.69519432,87442,49.42384882,18.69528242
15,15,877,55.774,"[12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 12.31444693899122, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 12.31444693899122, 12.31444693899122, 12.31444693899122]",4,87442,49.42384882,18.69528242,277502,49.42337981,18.69555549
16,16,878,27.04,"[5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321, 5.970212737661321]",3,145746,49.42315424,18.69569518,277502,49.42337981,18.69555549
17,17,879,39.705,"[8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 8.76654203952821, 34.0, 34.0, 34.0]",3,2504,49.42282307,18.69590045,145746,49.42315424,18.69569518
18,18,880,103.791,"[39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 22.916211178054965, 22.916211178054965, 22.916211178054965]",3,2504,49.42282307,18.69590045,189221,49.42193123,18.69632401
19,19,881,11.959,"[2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784, 2.640450226689784]",3,2505,49.42182897,18.69637524,189221,49.42193123,18.69632401
20,20,882,37.621,"[8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212, 8.306411738297212]",6,2515,49.40673261,18.62720013,26181,49.40655044,18.62676297
21,21,883,28.384,"[6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 40.0, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902, 28.0, 6.266957039414902, 6.266957039414902, 6.266957039414902, 6.266957039414902]",24,2490,49.40530824,18.63619988,2514,49.40505958,18.63628854
22,22,884,125.754,"[13.25, 11.1, 11.0, 10.5, 12.125, 13.666666666666666, 10.0, 18.0, 11.0, 11.0, 13.25, 14.666666666666666, 12.0, 11.25, 13.5, 14.090909090909092, 13.571428571428571, 11.727272727272728, 11.833333333333334, 11.846153846153848, 11.923076923076923, 11.733333333333333, 13.7, 13.181818181818182]",24,106668,49.38506445,18.59930684,145614,49.38590954,18.60044733
23,23,885,164.231,"[11.666666666666666, 15.75, 13.6, 12.6, 14.4, 26.0, 14.6, 11.0, 11.0, 11.2, 14.571428571428571, 16.25, 19.0, 27.33333333333333, 12.0, 13.571428571428571, 11.833333333333334, 10.7, 11.588235294117649, 14.916666666666666, 14.545454545454543, 11.555555555555555, 13.125, 13.77777777777778]",24,145599,49.38688463,18.60215054,145614,49.38590954,18.60044733
24,24,886,11.203,"[0.9758092854013592, 11.333333333333334, 0.9758092854013592, 0.9758092854013592, 19.0, 0.9758092854013592, 0.9758092854013592, 0.9758092854013592, 0.9758092854013592, 0.9758092854013592, 12.0, 12.0, 0.9758092854013592, 11.0, 11.333333333333334, 0.9758092854013592, 16.333333333333332, 17.5, 14.0, 11.0, 23.5, 13.0, 12.666666666666666, 21.0]",24,145599,49.38688463,18.60215054,145615,49.38695131,18.60226658
25,25,887,119.311,"[11.333333333333334, 12.571428571428571, 12.0, 13.666666666666666, 10.333333333333334, 8.0, 14.0, 10.392286142151352, 9.333333333333334, 15.5, 13.0, 11.666666666666666, 15.5, 11.5, 12.0, 13.0, 11.0, 10.166666666666666, 14.22222222222222, 15.166666666666666, 15.2, 15.0, 13.8, 11.857142857142858]",24,145615,49.38695131,18.60226658,145617,49.38764943,18.60351828
26,26,888,227.409,"[15.6, 17.2, 12.0, 12.0, 18.285714285714285, 13.5, 19.33333333333333, 19.5, 13.5, 17.0, 17.75, 16.77777777777778, 14.666666666666666, 15.6, 17.666666666666668, 19.214285714285715, 16.88888888888889, 16.733333333333334, 17.46153846153846, 16.0, 17.5, 20.15384615384616, 18.428571428571427, 17.923076923076923]",24,145617,49.38764943,18.60351828,145619,49.38868693,18.60620998
27,27,889,153.766,"[12.333333333333334, 11.5, 11.4, 18.0, 11.666666666666666, 15.0, 14.5, 13.39340271168664, 12.0, 12.666666666666666, 26.0, 12.333333333333334, 14.0, 16.666666666666668, 12.0, 16.5, 12.5, 13.75, 15.285714285714286, 11.8, 15.625, 16.5, 14.8, 19.8]",24,145604,49.38953611,18.60786047,145619,49.38868693,18.60620998
28,28,890,16.419,"[1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 19.0, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 9.5, 11.0, 9.0, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 1.4301359151124626, 8.0, 10.5, 1.4301359151124626, 10.5, 1.4301359151124626, 19.0, 11.0]",24,2486,49.38965736,18.60798993,145604,49.38953611,18.60786047
29,29,891,68.773,"[13.666666666666666, 13.0, 10.0, 18.0, 14.0, 18.0, 12.5, 15.0, 11.0, 10.5, 11.8, 14.6, 11.0, 9.666666666666666, 12.5, 14.0, 15.25, 13.5, 11.3, 13.0, 19.0, 13.6, 11.714285714285714, 10.5]",24,2486,49.38965736,18.60798993,145607,49.39019977,18.60844646
30,30,892,43.444,"[20.0, 14.2, 3.7840809243039057, 3.7840809243039057, 13.25, 17.0, 13.0, 3.7840809243039057, 11.0, 3.7840809243039057, 3.7840809243039057, 9.0, 3.7840809243039057, 9.0, 13.5, 17.5, 16.0, 16.5, 17.5, 13.0, 13.5, 15.0, 16.5, 14.6]",24,145605,49.39054734,18.60872064,145607,49.39019977,18.60844646
31,31,893,163.516,"[12.4, 12.0, 13.333333333333334, 10.333333333333334, 10.75, 14.242652067454134, 11.5, 19.0, 15.0, 17.5, 13.571428571428571, 13.333333333333334, 14.2, 14.0, 12.5, 12.875, 12.0, 13.23076923076923, 11.181818181818182, 10.363636363636363, 14.22222222222222, 11.5, 13.142857142857142, 12.375]",24,145598,49.39177165,18.60996452,145605,49.39054734,18.60872064
32,32,894,202.018,"[12.4, 12.666666666666666, 13.5, 15.833333333333334, 15.666666666666666, 18.5, 12.857142857142858, 15.0, 14.0, 11.75, 12.571428571428571, 15.3, 10.75, 14.714285714285714, 11.6, 13.466666666666669, 14.0, 13.5, 12.736842105263158, 14.409090909090908, 13.0, 13.27777777777778, 13.91304347826087, 14.307692307692308]",24,145379,49.39291643,18.61211476,145598,49.39177165,18.60996452
33,33,895,266.218,"[15.666666666666666, 12.545454545454543, 12.8, 15.0, 15.666666666666666, 13.0, 13.6, 14.0, 13.75, 16.0, 14.625, 12.9, 15.25, 14.285714285714286, 15.4, 15.857142857142858, 13.77777777777778, 15.23076923076923, 14.941176470588236, 12.416666666666666, 16.647058823529413, 16.846153846153847, 13.32, 14.692307692307692]",24,145379,49.39291643,18.61211476,145597,49.39384888,18.61549788
