Plate,MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
110JG,4.50430537666404,22224.5474701572,1.4358250361406413,9586.882813581116,0.5840928492464741
111IZ,4.0521025219915074,16707.117694738565,1.3970140198135539,7899.161249718929,0.5385876119470131
125KK,3.2979168142798243,25799.72490638259,1.5489429010399676,16907.730949300952,0.6758388401311362
171LF,4.114196129176626,27477.884947858754,1.398587494729714,11655.603934502036,0.5458241412541429
278JI,5.85690380101203,22380.102262660854,2.111346818435259,8102.775813043891,0.5110102121016625
417IZ,1.6151797126067733,26938.94781286876,1.2489589050708025,23807.678161099586,0.9156881480424698
440HY,4.729545018972599,34901.68409725108,1.5929486820504088,14107.743280618335,0.5618523828396763
445LI,2.624402799388843,18843.61306333845,1.4879660008519757,13227.644228353596,0.8099060454157416
471IH,3.9895936759511814,29040.04696661452,1.4240183862404483,12962.951307162764,0.5380182810910442
580IZ,2.4472216402555733,25259.752071763414,1.0794710760090123,15106.752685571064,0.6949166805158901
624KK,1.6656110126811194,7545.974667739367,0.9151415955538179,5022.242341006887,0.8283931967926775
724HU,1.662154395614737,12983.352328954617,0.9446502818193928,8611.746620975116,0.7864905323644678
761GV,2.1013884175914535,3642.1394928119576,0.9656106501691906,2730.5834822955894,0.8289096127640948
796ES,3.640031104327178,16573.536617059086,1.2619558711107544,7105.2303732441405,0.5697875544178694
853KK,2.1414403959821326,23054.171867633173,1.0084534438082275,12700.777413571532,0.6691009192760774
