Plate,MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
110JG,1.4522310178483604,12837.168369947836,0.6426678414352327,7399.456132342219,0.7022672443608408
111IZ,2.227613454704822,7494.919574809371,0.8293801586625206,3359.457856932574,0.6628574136754262
125KK,2.265762141650442,13393.232016110305,0.9700364790435243,8124.062827467797,0.6820884276218353
171LF,2.6363654521215056,14306.333078550551,1.1915144535232343,7922.016873782897,0.5260682145313486
278JI,2.65720493982934,11453.67554245488,1.4389138069058678,6666.419682954448,0.5387956504355412
417IZ,1.1408131846760432,9953.696004264222,0.7539479089101679,10161.500651534487,0.9039604648946132
440HY,2.815633956898783,17090.123318877486,1.14770468119264,9086.37768674845,0.5365210497186337
445LI,1.0749192212863996,4820.73581533065,0.7021645584727861,3717.7189526378843,0.9099662592136775
471IH,2.473469206593008,16296.833889907386,0.9859138944070469,7482.335454973305,0.4930898654899526
580IZ,0.950092499090309,8484.030044102166,0.734992833600125,7692.5182227405785,0.9497317517639724
624KK,0.9555602710710666,5153.352851579357,0.6111208936738416,3298.502981224546,0.947541455733769
724HU,1.5532086903971742,7115.892638765779,0.818861052637183,5122.312165155446,0.8893073459507812
761GV,0.9692230373533053,2911.0551503146976,0.7067756451797318,2372.5913047932286,0.9406574180662883
796ES,2.479315123125849,9409.80174387014,0.9384272757006092,4274.415888446466,0.5824222030241958
853KK,1.5946126678343315,9468.636833405882,0.7121675938931727,5531.796201897639,0.8079511776478732
