Plate,MAPE original route,RMSE original route,MAPE Dijk route,RMSE Dijk route,Similarity
110JG,1.1633851343123878,8592.981436604576,0.5174912506561036,4741.258980095746,0.6473810175980118
111IZ,1.243779521640174,5637.587243643713,0.6267664655439358,3432.7219928430072,0.7494862213450779
125KK,1.4092520815104024,10493.036908508235,0.7266417386904743,7267.025328289779,0.7709238177525886
171LF,2.139050230240183,9948.2637262899,0.9077503526033948,4100.98750762942,0.5442137255767446
278JI,2.2718912926054813,6945.244597764828,1.0019800315684073,3031.6252834818133,0.4899569982185842
417IZ,0.8498838142716498,5559.599605900775,0.639844642148976,5581.688670205131,0.8942358536425871
440HY,2.0276646489870833,12811.010327889384,0.9149330610067846,6057.254704577425,0.5569992536248354
445LI,1.2823833959331443,6654.397805774289,0.7263215921322752,4617.692267835824,0.8109429544307766
471IH,2.152560771358208,14518.32262090385,0.7432043872059403,4886.380973084642,0.4927264680722936
580IZ,0.7205074313539119,5167.108015052844,0.5614639722720232,4141.6527936494185,0.976316583495659
624KK,0.7569323914255215,3341.541745715883,0.496479971257008,2284.081128267499,0.8774571526187689
724HU,0.9428739560385717,4404.558251551244,0.5407946502499534,2503.8513306398677,0.843074508769547
761GV,0.8576716128841928,3196.721647265918,0.4541260723787061,1825.466677528222,0.7766995459269468
796ES,1.7472199848984293,5719.640693534679,0.6394212937174798,1249.3227406205403,0.5855784585678506
853KK,1.3095477090725363,9554.144358098558,0.6952232152405823,5278.733561984348,0.8063433997968141
